sample_name,accession,condition,replicate,day
FW_TWAS_rep_1,SRR19159478,FW+TWAS,1,0
FW_TWAS_rep_2,SRR19159477,FW+TWAS,2,0
FW_AS_rep_1,SRR19159476,FW+AS,1,0
FW_AS_rep_2,SRR19159475,FW+AS,2,0
FW_TWAS_AS_rep_1,SRR19159483,FW+TWAS+AS,1,0
FW_TWAS_AS_rep_2,SRR19159479,FW+TWAS+AS,2,0
FW_TWAS_rep_1_d24,SRR19159472,FW+TWAS,1,24
FW_TWAS_rep_2_d24,SRR19159482,FW+TWAS,2,24
FW_AS_rep_1_d24,SRR19159481,FW+AS,1,24
FW_AS_rep_2_d24,SRR19159480,FW+AS,2,24
FW_TWAS_AS_rep_1_d24,SRR19159474,FW+TWAS+AS,1,24
FW_TWAS_AS_rep_2_d24,SRR19159473,FW+TWAS+AS,2,24
Blank,SRR19159484,control,1,NA
