Sample	0	1	5	11	18	24
FW+TWAS+AS_rep_1	24.31	709.09	1769.11	1704.28	79.60	430.54
FW+TWAS+AS_rep_2	13.06	788.43	2158.60	2009.20	718.78	286.83
FW+TWAS_rep_1	22.70	377.65	1837.60	2405.77	89.24	439.59
FW+TWAS_rep_2	25.11	278.81	1631.91	2268.69	94.47	701.69
FW+AS_rep_1	41.98	414.20	1222.12	1909.90	321.60	1494.84
FW+AS_rep_2	50.22	373.63	1250.65	1945.28	74.17	1036.56
FW_rep_1	30.33	67.69	111.49	273.96	844.60	702.50
FW_rep_2	32.74	40.98	107.67	131.45	571.64	641.19
TWAS+AS_rep_1	6.43	26.31	7.23	4.62	12.06	8.04
TWAS+AS_rep_2	6.43	24.91	5.83	4.62	6.63	3.62
TWAS_rep_1	4.22	70.51	146.24	16.48	15.48	4.62
TWAS_rep_2	4.62	68.30	134.59	14.27	18.29	3.62
AS_rep_1	4.62	10.65	11.05	22.31	4.22	2.81
AS_rep_2	6.03	10.65	2.61	4.62	7.64	12.46
