Sample	0	1	5	11	18	24
FW+TWAS+AS_rep_1	1.21	566.87	885.86	1172.23	1438.76	2147.28
FW+TWAS+AS_rep_2	2.41	650.63	1086.73	1342.28	1695.64	2041.56
FW+TWAS_rep_1	3.01	389.70	1113.05	1464.69	1735.43	1774.63
FW+TWAS_rep_2	2.81	288.05	1017.23	1438.56	1530.62	1757.95
FW+AS_rep_1	4.42	79.35	353.54	602.20	951.13	955.76
FW+AS_rep_2	5.62	71.51	383.67	653.85	988.12	1024.10
FW_rep_1	3.21	1.81	6.63	11.86	30.95	25.53
FW_rep_2	7.03	2.81	1.41	6.43	8.64	17.89
TWAS+AS_rep_1	0.00	35.35	2.81	0.00	5.43	0.00
TWAS+AS_rep_2	1.21	40.78	2.81	1.41	2.21	0.00
TWAS_rep_1	0.00	39.17	149.05	378.68	420.69	0.00
TWAS_rep_2	0.00	37.76	143.42	0.00	452.25	0.00
AS_rep_1	0.00	4.22	6.83	30.55	3.02	0.00
AS_rep_2	1.21	4.42	0.00	1.21	6.63	10.05
