Sample	0	1	5	11	18	24
FW+TWAS+AS_rep_1	0.00	31.34	110.28	182.71	272.56	263.51
FW+TWAS+AS_rep_2	0.00	34.75	126.15	204.02	310.95	246.23
FW+TWAS_rep_1	0.00	2.81	165.92	240.60	322.81	345.72
FW+TWAS_rep_2	0.00	1.41	150.05	237.78	281.20	343.51
FW+AS_rep_1	1.00	11.25	53.23	113.77	283.41	292.86
FW+AS_rep_2	1.21	10.04	52.83	103.92	201.80	221.10
FW_rep_1	1.00	0.00	0.80	1.41	3.62	2.21
FW_rep_2	1.00	0.00	0.00	0.00	0.00	1.01
TWAS+AS_rep_1	0.00	4.82	0.00	0.00	0.00	0.00
TWAS+AS_rep_2	0.00	5.02	0.00	0.00	0.00	0.00
TWAS_rep_1	0.00	6.23	25.11	70.15	3.42	0.00
TWAS_rep_2	0.00	5.83	24.91	70.95	10.25	0.00
AS_rep_1	0.00	0.00	1.21	5.83	0.00	0.00
AS_rep_2	0.00	0.00	0.00	0.00	0.80	1.61
