Sample	0	1	5	11	18	24
FW+TWAS+AS_rep_1	1.81	38.37	208.71	381.30	575.26	773.05
FW+TWAS+AS_rep_2	2.01	40.78	240.85	407.23	642.80	696.26
FW+TWAS_rep_1	2.01	7.03	346.31	514.76	700.69	760.58
FW+TWAS_rep_2	2.01	4.62	313.97	513.56	614.46	763.60
FW+AS_rep_1	2.21	18.28	106.26	240.20	654.86	677.17
FW+AS_rep_2	2.41	15.87	100.44	205.62	425.52	482.80
FW_rep_1	2.01	1.81	3.62	4.62	9.05	5.23
FW_rep_2	3.01	1.81	2.01	2.41	2.01	3.02
TWAS+AS_rep_1	1.21	7.83	1.61	1.41	2.41	1.61
TWAS+AS_rep_2	2.21	9.24	1.81	1.41	1.21	1.61
TWAS_rep_1	1.61	12.45	45.40	121.61	18.09	1.41
TWAS_rep_2	1.61	12.25	46.20	121.61	24.32	1.41
AS_rep_1	1.61	2.21	3.01	10.85	1.21	1.21
AS_rep_2	1.61	2.01	1.41	1.01	2.41	3.22
