Sample	0	1	5	11	18	24
FW+TWAS+AS_rep_1	0.00	1.61	21.29	46.23	54.47	56.08
FW+TWAS+AS_rep_2	0.00	1.81	26.92	49.65	63.92	48.84
FW+TWAS_rep_1	0.00	1.00	68.90	91.66	108.14	110.35
FW+TWAS_rep_2	0.00	0.80	69.50	94.67	97.89	108.94
FW+AS_rep_1	0.00	1.00	11.05	74.37	121.61	124.22
FW+AS_rep_2	0.00	0.80	10.45	61.71	93.47	94.47
FW_rep_1	0.00	0.00	0.80	1.81	3.22	1.01
FW_rep_2	0.60	0.00	0.00	0.80	0.80	0.00
TWAS+AS_rep_1	0.00	0.00	0.00	0.00	0.60	0.00
TWAS+AS_rep_2	0.00	0.00	1.00	0.00	0.00	0.00
TWAS_rep_1	0.00	0.80	2.41	12.66	0.00	0.00
TWAS_rep_2	0.00	0.80	2.61	11.26	0.00	0.00
AS_rep_1	0.00	0.00	0.60	1.21	0.00	0.00
AS_rep_2	0.00	0.80	0.00	0.00	0.00	0.00
