Sample	0	1	5	11	18	24
FW+TWAS+AS_rep_1	0.00	45.00	322.20	650.44	728.22	403.21
FW+TWAS+AS_rep_2	0.00	57.45	409.18	712.95	881.99	363.81
FW+TWAS_rep_1	0.00	34.35	571.09	1031.73	1309.72	1311.53
FW+TWAS_rep_2	0.00	23.30	544.37	1077.16	1181.08	1324.19
FW+AS_rep_1	0.80	2.21	31.14	252.66	444.81	462.30
FW+AS_rep_2	1.00	1.61	26.31	222.31	78.39	361.40
FW_rep_1	0.00	0.00	1.41	4.22	9.05	3.82
FW_rep_2	1.41	0.00	0.00	1.61	1.21	1.61
TWAS+AS_rep_1	0.00	2.01	0.00	0.00	1.61	0.00
TWAS+AS_rep_2	0.00	2.01	0.80	0.00	0.00	0.00
TWAS_rep_1	0.00	7.23	28.12	59.30	1.21	0.00
TWAS_rep_2	0.00	7.43	29.53	57.89	1.41	0.00
AS_rep_1	0.00	1.00	2.01	13.67	0.00	0.00
AS_rep_2	0.00	0.80	0.00	0.00	1.41	1.81
