Name	Type	Microbiome	Sample_accession	Comments	Study_accession
Muegge_mammals_animals_illumina	amplicon	kangaroo	ERR3861428	Found this study from SRA and I was not able to find the paper	PRJEB36536
Muegge_mammals_animals_illumina	amplicon	kangaroo	ERR3861429	Found this study from SRA and I was not able to find the paper	PRJEB36536
gut microbiome of farm animals	amplicon	cow	SRR20217702	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	sheep	SRR20217712	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	rabbit	SRR20217714	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR20217721	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	pig	SRR20217749	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	compost	SRR20217780	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR20217786	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR20217787	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR20217788	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR20217817	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR20217827	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	camel	SRR20217833	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	deer	SRR20218138	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218139	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218140	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218141	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
