ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
3c2c417a6e31a0dfded62448edda67a0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acetobacteraceae_(unc)	
5c50de07dadf50f22cf34c5006004e83	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acetobacteraceae_(unc)	
6133dad383bcd9d0028caad30ab5905f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acetobacteraceae_(unc)	
8f89250ed019cca3bf3385bff68b2c63	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acetobacteraceae_(unc)	
407edba45e5ce63dfcb8faf24161f99d	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Acholeplasmatales	 f__Acholeplasmataceae	 g__Acholeplasmataceae_(unc)	
53a33a5720fed4d6573af363b3090034	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Acholeplasmatales	 f__Acholeplasmataceae	 g__Acholeplasmataceae_(unc)	
5fe9cc04ebc9e12f6b66d35583c0e165	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Acholeplasmatales	 f__Acholeplasmataceae	 g__Acholeplasmataceae_(unc)	
de3f20fe3da98b4517fdd55e20687640	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Acholeplasmatales	 f__Acholeplasmataceae	 g__Acholeplasmataceae_(unc)	
6ed81579ed9b2ab1ae435f85725f4b2e	d__Bacteria	 p__Firmicutes	 c__Negativicutes	 o__Acidaminococcales	 f__Acidaminococcaceae	 g__Acidaminococcaceae_(unc)	
775fbddb0ee3590bd17254a60974bd8d	d__Bacteria	 p__Firmicutes	 c__Negativicutes	 o__Acidaminococcales	 f__Acidaminococcaceae	 g__Acidaminococcaceae_(unc)	
7e187c2d35f0c1de779a9435cbab9cbd	d__Bacteria	 p__Firmicutes	 c__Negativicutes	 o__Acidaminococcales	 f__Acidaminococcaceae	 g__Acidaminococcaceae_(unc)	
9b244b79209ae5064cb4e83c77e5b455	d__Bacteria	 p__Firmicutes	 c__Negativicutes	 o__Acidaminococcales	 f__Acidaminococcaceae	 g__Acidaminococcaceae_(unc)	
b0b4b5f1d0ca8827bb05943406b7b7b7	d__Bacteria	 p__Firmicutes	 c__Negativicutes	 o__Acidaminococcales	 f__Acidaminococcaceae	 g__Acidaminococcaceae_(unc)	
1ca64f415082b9076674e5b2efbe7944	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)	 g__Acidobacteriaceae_(Subgroup_1)_(unc)	
5f22dd6fe7a2cb8b07aba021350b8334	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)	 g__Acidobacteriaceae_(Subgroup_1)_(unc)	
f1c55ccd5dafbd010a78e45d3aa256c9	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)	 g__Acidobacteriaceae_(Subgroup_1)_(unc)	
60c198aa761ff14cb4e783cea6fa8f23	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Actinomycetales	 f__Actinomycetaceae	 g__Actinomycetaceae_(unc)	
02c27ba06a7a21dc27c41c97f3d6e2b2	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
05678f3fc57b8b08c994d62732a133d7	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
29337124b598d23458b06ebfc0584794	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
517384ca859dd926b25f35d31f239c3e	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
6d3404a43afa4bbe70841d2754338c43	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
b569313fa17bc58ae291e72b781ec29a	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
de9e485f3a9a5b701b741d25da872753	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
dfe1689d0b6a50cc915f5e600b9f23f9	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
e3071eccbbbd1ee2c34f2f169c488e5e	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
ef895df20b206f18958deae8a189264d	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
f73a4b8b6423475cdbbb1a30556214b2	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
ffe307cb099677d238144fe80a03e61a	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Aerococcaceae_(unc)	
300a0d21225632f45a776bd54d3d0f2c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Aeromonadales	 f__Aeromonadaceae	 g__Aeromonadaceae_(unc)	
18cfdf6c7301a551905a9a96211b4893	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
2fc7600a3426692469395586eed0d361	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
5293826d274cf3a11ae6cab944b59446	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
832fc49d2623497bc46de83da8735c7c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
8540345a14f7172e71f2f139e098b245	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
8b02b1ec22c707f0e3ed3158c3b739fc	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
9e5b0fa246391d8275f5d8dba0b92310	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
a2aea7a4f99a2d2b2473bc1931560274	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
c29666a794b2c1ebdfbfff3b24cf24ab	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae	 g__Alcaligenaceae_(unc)	
02052c23fc5e6a2e43941e783c5704ea	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
0389720d6a77f83a46d5f565f985214c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
06ad5d0a877d0e15f2b5455a7a009e8d	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
0daa0ec4a3247fa01a9ff7d53bb86970	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
1204b1b5e00cf45244169c4a03544d31	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
124b7cfafb07180c4916addbb89f97cc	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
19945ce150ecfc032978f23b9ff9891d	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
27a6eb913ebbd17d4d1fef3e8950cef9	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
3e344a829ef0a69cf1f4aca296452001	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
45246468947d1e96ed0935ea56c33fd2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
4652d6bff423910213ad9125ce6d1fae	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
5391d5fca14ab9b59fe91b04fa8a9e14	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
5992b83953a7825cf7f4bd0e02dbf2d2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
6e61e98b3ae6234f47de98ec742dbe0f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
75edba6e615eb8b77533c9625922dae2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
818aa6e308b30c660185fba666274a9f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
8e74de1752c6c931a76384b133e56b5a	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
a25568f6dbc321ce2ea93be4b822b317	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
dd233670de910f9f435127195ed4d7d8	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
ebdcdef22c826ee8df070d68b36cbbc6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
f12761ee2a004f6c23d28d4f4ce4a9e6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Anaerolineaceae_(unc)	
040f3e52f9a7fc14840e9c8119aa786a	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
054e6d5a95cd1f556e6d5493ed7bdf01	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
05a160e049ecc229bf315df1a1b5bb48	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
09532c4c08f1337c9c8beb54fa5415de	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
10d4d498c072ede40d40aa2565e760fa	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
1cd76f1144782e110ecf83aa3031ebc1	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
23117933abb44ea6ef2b2db00250f112	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
2d1647b4b79da5e3bce3d9cf4343d635	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
2d58c577e397b6b0b3ec8286de791584	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
309218a7247f3b55c04e1c5a44c20c2a	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
57d8ba2495c77ce1b7ec5d43ebd04f3b	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
6c94ab04fcffb2ea631cb7669b7ee1b8	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
6f321fc059bc4b31cd4e6e1e5e3aa17c	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
80350cd71c8c20d293a35fd8a7725feb	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
808f3c16e82413de55940da08c76c0e8	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
85a4dfc48a50537d8cae22ac6772f59f	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
90355026e5be68620da574c8d08a2160	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
9783b2d4445b88fc7272107a5acf3c18	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
9c592d2fba2e5f3ea5d8ec6588dc0c6e	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
a8cc1b80178ed22d7d9b7ce5400044b8	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
abe0cc284fbefb5bc4358ddc8d21d381	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
b318fa891974fdbb57de91aaccb2ac72	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
be68f61489a0c5851aa92513f860b37e	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
c7415987ded01b0b0d26bbaed60e1346	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
ca7d3af922d010c06926586c78ec6c62	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
cefdce65ec65399f68593e612988123c	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
f1b2d60aef9a2041d89997119110363c	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
f4a003b8897fe2ab8f248b5d94143ba0	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
fa65ecc22cd61c34f87e3eeb408e6b2b	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
fed424b74e345b047ae94e9ecb0f89b7	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Anaerovoracaceae_(unc)	
9989d74d098a74794ff16b8ffcbe7de4	d__Bacteria	 p__Campilobacterota	 c__Campylobacteria	 o__Campylobacterales	 f__Arcobacteraceae	 g__Arcobacteraceae_(unc)	
df68df6c439ec5d9692d70bb26b7e53f	d__Bacteria	 p__Campilobacterota	 c__Campylobacteria	 o__Campylobacterales	 f__Arcobacteraceae	 g__Arcobacteraceae_(unc)	
