SampleID,C4,ISOC5,ISOC4,C3,C2,C5,C6,C7,ISOC6,total
J1,0,0,0,0,0.106018222,0,0,0,0,0.106018222
J10,0,0,0,0.192448878,0,0.043298172,0.003539779,0,0,0.239286829
J100,0,0,0,0.273814028,0.221025766,0.046784847,0,0,0,0.541624641
J101,0,0,0,0.113752618,0.323396707,0.127112401,0,0,0,0.564261726
J102,0.202600016,0,0,0.842043909,0.819340685,0.177985974,0.003305031,0,0,2.045275615
J103,0.823916991,0.084526945,0.06779729,0.083233767,2.607957887,0,0,0,0,3.66743288
J104,0.797199148,0.121433065,0.104287188,0.30496169,1.829915125,0,0,0,0,3.157796216
J105,0.772043524,0.122236019,0.101736407,0.119784166,0.956984037,0,0,0,0,2.072784153
J106,0,0,0,0,0.468297941,0,0,0,0,0.468297941
J107,0,0,0,0,0.488965264,0,0,0,0,0.488965264
J108,0,0,0,0,0.827543619,0,0,0,0,0.827543619
J109,0,0,0,0.090343858,0.282661037,0,0,0,0,0.373004895
J11,0,0,0,0,0.008716306,0,0,0,0,0.008716306
J110,0,0,0,0.023249867,0.531913436,0,0,0,0,0.555163303
J111,0,0,0,0.060989165,0.337065355,0,0,0,0,0.39805452
J112,0,0,0,0.076735759,0.266499894,0,0,0,0,0.343235653
J113,0,0,0,0.311180691,0.709263195,0,0,0,0,1.020443886
J114,0,0,0,0.18309598,0.769919085,0,0,0,0,0.953015065
J115,0,0,0,0.109453007,1.159694608,0,0,0.232519895,0,1.50166751
J116,0,0,0,0,0.602730293,0,0,0,0,0.602730293
J117,0,0,0,0,0.872759193,0,0,0,0,0.872759193
J118,0,0,0,0.135055043,0.43483511,0,0,0,0,0.569890153
J119,0,0,0,0.115291542,0.435381925,0,0,0,0,0.550673467
J12,0,0,0,0,0.193060946,0,0,0.23148107,0,0.424542016
J120,0.064199311,0,0,0.294343246,0.884044798,0,0,0,0,1.242587355
J121,0,0,0,0.141811008,0.512253844,0,0,0,0,0.654064852
J122,0,0,0,0.067485951,0.974415573,0,0,0,0,1.041901524
J123,0,0,0,0.114912479,1.006985402,0,0,0,0,1.121897881
J124,0,0.033339534,0,0.007988618,0.73198921,0,0,0,0,0.773317362
J125,0,0.022977284,0,0,1.407269568,0,0,0,0,1.430246852
J126,0,0.021477976,0,0.016387478,0.680651012,0,0,0,0,0.718516466
J127,1.0028072,0.001714065,0,0.154455343,0.179591861,0,0,0,0,1.338568469
J128,1.207175409,0.025440485,0,0.193465251,0.29629508,0,0,0,0,1.722376225
J129,0.869657279,0,0,0.178719436,0.256561201,0,0,0,0,1.304937916
J13,0,0,0,0,0.047737102,0.155960405,0,0,0,0.203697507
J130,0.571810674,0.053505361,0.05433288,0.32003018,2.259093036,0,0,0,0,3.258772131
J131,0.713090966,0,0.05433288,0.366965713,1.702380239,0,0,0,0,2.836769798
J132,0.98149159,0.090248418,0.082533459,0.358116539,2.176046969,0,0,0,0,3.688436975
J133,0.13213943,0.090248418,0.077942322,0.078695871,1.140639708,0,0,0,0,1.519665749
J134,0.130373625,0.082628235,0.077524946,0.166458483,0.798158845,0,0,0,0,1.255144134
J135,0.092703121,0.07119796,0.082533459,0.372313432,1.140639708,0,0,0,0,1.75938768
J136,0,0,0,0.123230423,0.265040706,0.039146234,0.17432205,0.387615481,0,0.989354894
J137,0,0,0,0,0.210173553,0,0.156030811,0.377124014,0,0.743328378
J138,0,0,0,0.090845038,0.550189343,0.058157155,0.166318069,0.492001687,0,1.357511292
J139,0.769595001,0.094058509,0.086707221,0.295521147,0.670724105,0,0,0,0,1.916605983
J14,0,0,0,0,0.023607137,0,0,0,0,0.023607137
J140,0.838058753,0.058182841,0.074806346,0.37339269,0.784553278,0,0,0,0,2.128993908
J141,0.387857456,0.095602675,0.064569613,0.055954166,1.575531559,0,0,0,0,2.179515469
J142,0.261043188,0.109298875,0.078359698,0.050302085,1.379579845,0,0,0,0,1.878583691
J143,0.158767238,0.055275615,0.04051329,0.002854182,1.387568701,0,0,0,0,1.644979026
J144,0,0,0,0,0,0,0,0,0,0
J145,0,0,0,0,0.3,0,0,0,0,0.3
J146,0,0,0,0,0,0,0,0,0,0
J147,0.2,0,0,0.3,0.6,0,0,0,0,1.1
J148,0.1,0,0,0.4,1,0,0,0,0,1.5
J149,0,0,0,0.2,0.8,0,0,0,0,1
J15,0,0,0,0,0.241113569,0,0,0,0,0.241113569
J150,0,0,0,0.1,0.5,0,0,0,0,0.6
J151,0,0,0,0.1,0.8,0,0,0,0,0.9
J152,0,0,0,0.1,0.9,0,0,0,0,1
J153,0.1,0,0,0.1,0.4,0,0,0,0,0.6
J154,0.1,0,0,0.3,0.4,0,0,0,0,0.8
J155,0.1,0,0,0.1,0.4,0,0,0,0,0.6
J156,0.1,0,0,0.1,0.4,0,0,0,0,0.6
J157,0,0,0,0,0.3,0,0,0,0,0.3
J158,0,0,0,0.1,0.9,0,0,0,0,1
J16,0,0,0,0,0.311951309,0,0,0,0,0.311951309
J160,0,0,0,0,0.6,0,0,0,0,0.6
J161,0,0.1,0,0.1,0.6,0,0,0,0,0.8
J17,0,0,0,0,0.313767311,0,0,0,0,0.313767311
J18,0,0,0,0,0.187536917,0,0,0,0,0.187536917
J181,1.034284468,0.079611735,0.048942785,0.260412815,0.868033205,0.037204312,0.129433359,0,0,2.457922679
J182,1.287191755,0.136401309,0.097653097,0.340925257,0.732450529,0,0,0,0,2.594621947
J183,1.098830489,0.126880875,0.097958297,0.332372988,0.582830864,0,0.138513908,0,0,2.377387421
J184,0.895718696,0.125065245,0.104605086,0.321641261,2.208827238,0.156761713,0,0,0,3.812619239
J185,0.982977296,0.111452529,0.07441731,0.493328169,2.680250962,0.08289946,0,0,0,4.425325726
J186,0,0.118798759,0.094923821,0.159395679,1.528063033,0,0,0,0,1.901181292
J187,0.002390943,0.071103327,0.051645585,0.044466038,1.517870544,0,0,0,0,1.687476437
J188,0.265054115,0.079772709,0.053667772,0,1.534015271,0,0,0,0,1.932509867
J189,0.367819979,0.162651557,0.105421514,0.838270059,0.606091579,0.503136431,0.125294221,0,0,2.70868534
J19,0,0,0,0,0.250625006,0,0,0,0,0.250625006
J190,0.25324557,0.136567884,0.093993763,0.595973734,0.546016981,0.39781741,0,0,0,2.023615342
J191,0.202563511,0.166295928,0.11024837,0.825461889,0.767270487,0.371291208,0.14476304,0,0,2.587894433
J192,0.739692826,0.14730058,0.124085327,0.302302369,2.590007178,0.153134682,0,0,0,4.056522962
J193,0.9755371,0.126979437,0.089802978,0.864181323,1.938294652,0.089237895,0,0,0.010709215,4.0947426
J194,0.759701897,0.134898676,0.111610821,0.517324386,1.912827182,0.147368057,0,0,0,3.583731019
J195,0,0.06618391,0,0.018256072,1.740914329,0,0,0,0,1.825354311
J196,0,0,0,0,1.030326864,0,0,0,0,1.030326864
J198,0,0.123408785,0,0,1.453373793,0,0,0,0,1.576782578
J199,0,0,0,0.191782285,0.60490237,0,0,0,0,0.796684655
J2,0,0,0,0,0.219308334,0,0,0,0,0.219308334
J20,0,0,0.209954102,0,0.157038643,0,0,0,0,0.366992745
J200,0,0,0,0.177746691,0.782968126,0,0,0,0,0.960714817
J201,0,0,0,0.176155871,0.807377258,0,0,0,0,0.983533129
J202,0.082661332,0,0,0.925375895,1.599875988,0,0,0,0,2.607913215
J203,0,0,0.242505754,0.890869753,0.840748597,0,0,0,0,1.974124104
J204,0,0,0,0.848959797,1.145237304,0,0,0,0,1.994197101
J205,0,0,0,0.051560024,1.109775515,0,0,0,0,1.161335539
J206,0,0.0449264,0.037346686,0.153796121,1.144626844,0,0,0,0,1.380696051
J207,0,0,0,0.189205001,1.186920152,0,0,0,0,1.376125153
J208,0,0,0,0.180171334,0.735234216,0,0,0,0,0.91540555
J209,0,0,0,0,0.546941966,0,0,0,0,0.546941966
J21,0,0,0,0,0.135575818,0,0,0.304780285,0,0.440356103
J210,0,0,0,0.144011638,0.605784,0,0,0,0,0.749795638
J211,0,0,0,0.385500758,1.273214036,0,0,0,0,1.658714794
J212,0,0,0,0.390515588,1.815523315,0,0,0,0,2.206038903
J214,0,0,0,0.270272745,0.405958349,0,0,0,0,0.676231094
J215,0,0.027174316,0,0.03020989,1.702663484,0,0,0,0,1.76004769
J216,0,0.037094569,0,0.029047371,1.719808865,0,0,0,0,1.785950805
J217,1.028579721,0.090248418,0.086707221,0.200014775,0.455677982,0,0,0,0,1.861228117
J218,1.253894603,0.055275615,0,0.270161568,0.920748165,0,0,0,0,2.500079951
J219,0.828977459,0.02849484,0,0.236957725,0.439536244,0,0.230952569,0,0,1.764918837
J22,0,0,0,0.001529086,0.336064907,0,0,0,0,0.337593993
J220,0.869657279,0.113108966,0.095054744,0.52331675,1.937106832,0,0,0,0,3.538244571
J221,0.910859394,0.116919058,0.095054744,0.539449583,1.777813407,0,0,0,0,3.440096186
J222,0.505248654,0.072215279,0.074806346,0.541005704,1.966138117,0,0,0,0,3.1594141
J223,0.0873039,0.076700235,0.05433288,0.670328448,3.16850254,0,0,0,0,4.057168003
J224,0.07683129,0.053505361,0.05433288,0.627890818,3.333261072,0,0,0,0,4.145821421
J225,0.100354942,0.086438326,0.086707221,0.68851696,2.89286738,0,0,0,0,3.854884829
J226,0.210560439,0.13302251,0.059451247,0.248196031,0.276764752,0.492909377,0.366348262,0.559529789,0,2.346782407
J227,0,0,0,0.003760844,0.335198706,0.042829626,0.156929229,0.373487446,0,0.912205851
J228,0.339448714,0.058182841,0.059451247,0.293348925,0.628310655,0.202095053,0.312700558,0,0,1.893537993
J229,0.558575641,0.08205639,0.079924713,0.609552374,1.324606394,0,0,0,0,2.654715512
J230,0.376409109,0.075008052,0.095054744,0.70787636,1.060992996,0,0,0,0,2.315341261
J231,0.893201345,0.120729149,0.11174979,0.472982311,0.758335489,0,0,0,0,2.356998084
J232,0.249859757,0.166450247,0.120097313,0.14258189,1.937106832,0,0,0,0,2.616096039
J233,0.233554591,0.100280154,0.059451247,0.110000811,1.575531559,0,0,0,0,2.078818362
J234,0.219637078,0.165764865,0.085043079,0.120946967,1.868486478,0,0,0,0,2.459878467
J235,0,0,0,0,0.4,0,0,0,0,0.4
J236,0,0,0,0.1,0.3,0,0,0,0,0.4
J237,0,0,0,0,0.4,0,0,0,0,0.4
J238,0,0,0,0.4,0.8,0,0,0,0,1.2
J239,0,0,0,0.8,1.3,0,0,0,0,2.1
J24,0,0,0,0.02754626,0.220876766,0,0,0,0,0.248423026
J240,0,0,0,0.6,0.9,0,0,0,0,1.5
J241,0,0,0,0.2,1.1,0,0,0,0,1.3
J242,0.1,0,0,0.2,0.7,0,0,0,0,1
J243,0.4,0.1,0,0.7,0.6,0,0,0,0,1.8
J244,0,0,0,0.1,0.4,0,0,0,0,0.5
J245,0.3,0,0,0.2,0.5,0,0,0,0,1
J246,0,0,0,0.1,0.5,0,0,0,0,0.6
J247,0,0,0,0.4,1.6,0,0,0,0,2
J248,0,0,0,0.2,0.8,0,0,0,0,1
J249,0,0.1,0,0.2,1.2,0,0,0,0,1.5
J25,0,0,0,0.030284796,0.567382389,0,0,0,0,0.597667185
J250,0,0.1,0,0.1,1.1,0,0,0,0,1.3
J251,0,0,0,0.1,1.4,0,0,0,0,1.5
J26,0,0,0,0.009626225,0.659125924,0,0,0,0,0.668752149
J269,1.08745424,0.105413931,0.063872434,0.33708401,0.670587434,0.071604105,0.137687488,0,0,2.473703642
J27,0,0,0,0,0.371038188,0,0,0,0,0.371038188
J270,1.366642103,0.167090667,0.11175025,0.422460544,0.834411645,0.178096831,0.116652432,0,0,3.197104472
J271,1.063108574,0.140641856,0.102820667,0.397582415,1.274374642,0.146367026,0.150700434,0,0,3.275595614
J272,0.664708253,0.15235967,0.117482076,0.189437453,0.188300523,0.153405464,0,0,0,1.465693439
J273,0.918177755,0.104333463,0.073567691,0.515570616,2.156624418,0.092920728,0.005420507,0,0,3.866615178
J274,0.540181557,0.112947035,0.076063848,0.18674115,0.129674251,0.069824612,0.007662675,0,0,1.123095128
J275,0,0.116850673,0.068156092,0.555662771,2.458850737,0,0,0,0.134531682,3.334051955
J276,0,0.087960272,0.058704402,0.439130825,2.39284534,0,0,0,0,2.978640839
J277,0.268355821,0.129592702,0.100886871,0.126333866,2.572976618,0.145506848,0,0,0,3.343652726
J278,0.387347892,0.181470557,0.115737978,0.750928865,0.699813974,0.503468664,0.13504375,0,0,2.77381168
J279,0.465376966,0.15071697,0.07489892,0.872801885,0.211296719,0.453023219,0.025833829,0,0,2.253948508
J28,0,0,0,0,0.087311196,0,0,0,0,0.087311196
J280,0.14958407,0.185341417,0.114704137,0.976516789,1.154215153,0.382511247,0.131848463,0,0,3.094721276
J281,0,0.108146151,0.104015445,0.291802398,0.174820501,0,0,0,0,0.678784495
J282,0,0.097800653,0.071513444,0.566944898,0,0,0,0,0,0.736258995
J283,0.7648627,0.166850465,0.128497812,0.584658282,0.418620335,0.158171044,0,0,0,2.221660638
J284,0,0.137832672,0.09018766,0,2.598108626,0,0,0,0,2.826128958
J285,0,0.030508383,0,0,1.434484867,0,0,0,0,1.46499325
J286,0.011082363,0.119808277,0.060179039,0.021986106,1.561536655,0,0,0,0,1.77459244
J287,0,0,0,0.319461393,1.333619374,0,0,0,0,1.653080767
J288,0,0,0,0.140725727,0.598233604,0,0,0,0,0.738959331
J289,0,0,0,0.228114017,0.760411625,0,0,0,0,0.988525642
J29,0,0,0,0,0.582952902,0,0,0,0,0.582952902
J290,0,0,0,0.741704343,1.283225116,0,0,0,0,2.024929459
J291,0,0,0,0.85414818,0.501555257,0,0,0,0,1.355703437
J292,0,0,0,1.050004908,1.393198207,0,0,0,0,2.443203115
J293,0,0,0,0.049995706,1.479544348,0,0,0,0,1.529540054
J294,0,0,0,0.416885016,1.281966869,0,0,0,0,1.698851885
J295,0,0,0,0.142497575,1.614294858,0,0,0,0,1.756792433
J296,0,0,0,0.101462701,0.385895513,0,0,0,0,0.487358214
J297,0,0,0,0.077372466,0.389665522,0,0,0,0,0.467037988
J298,0,0,0,0.158899844,0.437401062,0,0,0,0,0.596300906
J299,0,0,0,0.559022731,0.381828696,0,0,0,0,0.940851427
J3,0,0,0,0,0.128584437,0,0,0,0,0.128584437
J30,0,0,0,0.075096761,0.499240915,0.200310779,0,0,0,0.774648455
J300,0,0,0,0.635587386,0.403827032,0,0,0,0,1.039414418
J301,0,0,0,0.57740925,0.478085127,0,0,0,0,1.055494377
J302,0,0,0,0.08243945,2.35101266,0,0,0,0,2.43345211
