SampleID	sample-id	sample-id-2	inoculum	temperature	feedstock	pH	rep	day	type	inoculum_temperature	inoculum_feedstock	inoculum_pH	temperature_feedstock	temperature_pH	feedstock_pH	inoculum_temperature_feedstock	inoculum_temperature_pH	temperature_feedstock_pH	inoculum_temperature_feedstock_pH	day-2	keep	run	inoculum_feedstock_pH	reactor
J462	205_O	205_O	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	n	R2	na_na_na	na_na_na_na_na
J463	206_O	206_O	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	n	R2	na_na_na	na_na_na_na_na
J464	207_O	207_O	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	n	R2	na_na_na	na_na_na_na_na
J465	208_O	208_O	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	n	R2	na_na_na	na_na_na_na_na
J466	209_O	209_O	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	n	R2	na_na_na	na_na_na_na_na
J467	210_O	210_O	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	n	R2	na_na_na	na_na_na_na_na
J489	MOCK_1	MOCK_1	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	0	n	R1	MOCK_MOCK_MOCK	MOCK_MOCK_MOCK_MOCK_MOCK
J490	MOCK_2	MOCK_2	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	0	n	R1	MOCK_MOCK_MOCK	MOCK_MOCK_MOCK_MOCK_MOCK
J491	MOCK_3	MOCK_3	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	0	n	R1	MOCK_MOCK_MOCK	MOCK_MOCK_MOCK_MOCK_MOCK
J492	MOCK_4	MOCK_4	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	0	n	R1	MOCK_MOCK_MOCK	MOCK_MOCK_MOCK_MOCK_MOCK
J493	MOCK_5	MOCK_5	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	0	n	R1	MOCK_MOCK_MOCK	MOCK_MOCK_MOCK_MOCK_MOCK
J494	MOCK_6	MOCK_6	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	0	n	R1	MOCK_MOCK_MOCK	MOCK_MOCK_MOCK_MOCK_MOCK
J495	MOCK_7	MOCK_7	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	0	n	R1	MOCK_MOCK_MOCK	MOCK_MOCK_MOCK_MOCK_MOCK
J496	MOCK_8	MOCK_8	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	0	n	R1	MOCK_MOCK_MOCK	MOCK_MOCK_MOCK_MOCK_MOCK
J459	M1	M	M	M	M	M	M	M	feedstock	M	M	M	M	M	M	M	M	M	M	0	y	R1	M_M_M	M_M_M_M_M
J460	M2	M	M	M	M	M	M	M	feedstock	M	M	M	M	M	M	M	M	M	M	0	y	R1	M_M_M	M_M_M_M_M
J461	M3	M	M	M	M	M	M	M	feedstock	M	M	M	M	M	M	M	M	M	M	0	y	R1	M_M_M	M_M_M_M_M
J488	M_feb23	M	M	M	M	M	M	M	feedstock	M	M	M	M	M	M	M	M	M	M	0	y	R2	M_M_M	M_M_M_M_M
J456	F1	F	F	F	F	F	F	F	feedstock	F	F	F	F	F	F	F	F	F	F	0	y	R1	F_F_F	F_F_F_F_F
