sample,genome_id,abundance
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736
FW_AS_rep_2,GCA_018000955.1,0.09408564060418852
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272
FW_AS_rep_2,GCA_035419325.1,0.03474367330745034
FW_AS_rep_2,GCA_035452445.1,0.03409187519483096
FW_AS_rep_2,GCA_035417985.1,0.024711650182786864
FW_AS_rep_2,GCA_035376965.1,0.027092130246266333
FW_AS_rep_2,GCA_040766305.1,0.021934423442060817
FW_AS_rep_2,GCA_016722305.1,0.020092385297701704
FW_AS_rep_2,GCA_035451445.1,0.0185620766854649
FW_AS_rep_2,GCF_024341885.1,0.017400175702099924
FW_AS_rep_2,GCA_937873755.1,0.01646498710573299
FW_AS_rep_2,GCA_018003655.1,0.015274747073993256
FW_AS_rep_2,GCA_035395015.1,0.014622948961373877
FW_AS_rep_2,GCA_012797505.1,0.013120979397511832
FW_AS_rep_2,GCA_035374025.1,0.01210077365602063
FW_AS_rep_2,GCA_035352255.1,0.01108056791452943
FW_AS_rep_2,GCA_044230255.1,0.010230396463286762
FW_AS_rep_2,GCA_035396845.1,0.00986198883441494
FW_AS_rep_2,GCA_004138365.1,0.009323546915294585
FW_AS_rep_2,GCF_049943315.1,0.014424575622750587
FW_AS_rep_2,GCA_937871025.1,0.008926800238048007
FW_AS_rep_2,GCA_040772985.1,0.008643409754300451
FW_AS_rep_2,GCA_035358495.1,0.007906594496556806
FW_AS_rep_2,GCA_035364295.1,0.00787825544818205
FW_AS_rep_2,GCA_023622505.1,0.007849916399807295
FW_AS_rep_2,GCA_009877105.1,0.0071697792388131605
FW_AS_rep_2,GCA_018437055.1,0.009720293592541162
FW_AS_rep_2,GCA_019454985.1,0.006206251594071471
FW_AS_rep_2,GCA_035364515.1,0.006064556352197693
FW_AS_rep_2,GCF_042654745.1,0.005866183013574404
FW_AS_rep_2,GCA_033811395.1,0.005271062997704537
FW_AS_rep_2,GCA_022840265.1,0.005072689659081248
FW_AS_rep_2,GCA_035361655.1,0.005044350610706493
FW_AS_rep_2,GCA_002849245.1,0.00493099441720747
FW_AS_rep_2,GCA_022840855.1,0.004760960126958937
FW_AS_rep_2,GCA_029565215.1,0.004477569643211381
FW_AS_rep_2,GCA_002316295.1,0.004279196304588092
FW_AS_rep_2,GCA_033810415.1,0.004222518207838581
FW_AS_rep_2,GCA_035419245.1,0.004052483917590047
FW_AS_rep_2,GCA_022837705.1,0.004024144869215292
FW_AS_rep_2,GCA_035357655.1,0.003939127724091025
FW_AS_rep_2,GCF_001262605.1,0.0035990591435939583
FW_AS_rep_2,GCA_046347895.1,0.0035707200952192026
FW_AS_rep_2,GCA_963709485.1,0.0035140419984696913
FW_AS_rep_2,GCA_019636095.1,0.0034857029500949357
FW_AS_rep_2,GCA_022708185.1,0.0030606172244736023
FW_AS_rep_2,GCA_035434045.1,0.0030322781760988467
FW_AS_rep_2,GCA_044223705.1,0.0027488876923512907
FW_AS_rep_2,GCF_041464035.1,0.0027205486439765354
FW_AS_rep_2,GCA_022708655.1,0.002607192450477513
FW_AS_rep_2,GCF_001192795.1,0.002550514353728002
FW_AS_rep_2,GCA_040766455.1,0.002550514353728002
FW_AS_rep_2,GCA_050183115.1,0.002550514353728002
FW_AS_rep_2,GCA_035379705.1,0.002550514353728002
FW_AS_rep_2,GCA_035365655.1,0.0024371581602289794
FW_AS_rep_2,GCA_013824685.1,0.004392552498087114
FW_AS_rep_2,GCA_963746195.1,0.002352141015104713
FW_AS_rep_2,GCA_001896575.1,0.002267123869980446
FW_AS_rep_2,GCA_029554505.1,0.0022387848216056903
FW_AS_rep_2,GCA_050949945.1,0.0022387848216056903
FW_AS_rep_2,GCA_035367605.1,0.0021821067248561795
FW_AS_rep_2,GCA_018242085.1,0.002068750531357157
FW_AS_rep_2,GCA_024710025.1,0.002012072434607646
FW_AS_rep_2,GCF_963887565.1,0.0019270552894833791
FW_AS_rep_2,GCA_029569365.1,0.0018987162411086237
FW_AS_rep_2,GCA_017995635.1,0.0018987162411086237
FW_AS_rep_2,GCA_016705885.1,0.0018136990959843567
FW_AS_rep_2,GCA_035377605.1,0.0017853600476096013
FW_AS_rep_2,GCF_030238425.1,0.0017570209992348457
FW_AS_rep_2,GCA_017992995.1,0.0017570209992348457
FW_AS_rep_2,GCA_035420785.1,0.0016436648057358233
FW_AS_rep_2,GCA_044224105.1,0.0016436648057358233
FW_AS_rep_2,GCF_026261605.1,0.0016436648057358233
FW_AS_rep_2,GCA_035426845.1,0.0016153257573610679
FW_AS_rep_2,GCF_002978625.1,0.0016153257573610679
FW_AS_rep_2,GCA_035332425.1,0.0016153257573610679
FW_AS_rep_2,GCA_963765065.1,0.0016153257573610679
FW_AS_rep_2,GCA_012797495.1,0.0015303086122368012
FW_AS_rep_2,GCA_027492415.1,0.0014736305154872899
FW_AS_rep_2,GCA_029974415.1,0.0014736305154872899
FW_AS_rep_2,GCA_035347995.1,0.0014452914671125344
FW_AS_rep_2,GCA_036847425.1,0.003542381046844447
FW_AS_rep_2,GCA_937872315.1,0.0014169524187377788
FW_AS_rep_2,GCA_022838865.1,0.0013886133703630231
FW_AS_rep_2,GCA_033811615.1,0.0013886133703630231
FW_AS_rep_2,GCA_033810375.1,0.0013886133703630231
FW_AS_rep_2,GCA_016191845.1,0.0013035962252387564
FW_AS_rep_2,GCA_022708005.1,0.0012469181284892454
FW_AS_rep_2,GCA_016714645.1,0.0012469181284892454
FW_AS_rep_2,GCA_016704085.1,0.001870377192733868
FW_AS_rep_2,GCA_035376845.1,0.0012469181284892454
FW_AS_rep_2,GCA_037046705.1,0.0012185790801144897
FW_AS_rep_2,GCA_037200505.1,0.0012185790801144897
FW_AS_rep_2,GCA_035353335.1,0.0012185790801144897
FW_AS_rep_2,GCA_022709225.1,0.0011902400317397343
FW_AS_rep_2,GCA_031972215.1,0.0011619009833649786
FW_AS_rep_2,GCA_029554905.1,0.001133561934990223
FW_AS_rep_2,GCA_016710525.1,0.001133561934990223
FW_AS_rep_2,GCA_020723125.1,0.0011052228866154673
FW_AS_rep_2,GCA_029547385.1,0.001076883838240712
FW_AS_rep_2,GCA_035415525.1,0.0031739734179726245
FW_AS_rep_2,GCA_029219025.1,0.001076883838240712
FW_AS_rep_2,GCA_046350755.1,0.0009918666931164452
FW_AS_rep_2,GCA_035374425.1,0.0009918666931164452
FW_AS_rep_2,GCA_019136455.1,0.0009918666931164452
FW_AS_rep_2,GCA_035417565.1,0.0009918666931164452
FW_AS_rep_2,GCA_023415205.1,0.0009918666931164452
FW_AS_rep_2,GCA_963695105.1,0.0009635276447416896
FW_AS_rep_2,GCA_029547845.1,0.000935188596366934
FW_AS_rep_2,GCA_035373905.1,0.000935188596366934
FW_AS_rep_2,GCA_002069655.1,0.0009068495479921784
FW_AS_rep_2,GCA_002070395.1,0.0009068495479921784
FW_AS_rep_2,GCA_040771935.1,0.0009068495479921784
FW_AS_rep_2,GCA_963733465.1,0.0008785104996174228
FW_AS_rep_2,GCA_041910895.1,0.0008501714512426673
FW_AS_rep_2,GCA_040776045.1,0.0008501714512426673
FW_AS_rep_2,GCA_943367845.1,0.0008501714512426673
FW_AS_rep_2,GCA_035434385.1,0.0008218324028679117
FW_AS_rep_2,GCA_022708305.1,0.0008218324028679117
FW_AS_rep_2,GCA_046329585.1,0.0007934933544931561
FW_AS_rep_2,GCA_016707525.1,0.0007934933544931561
FW_AS_rep_2,GCA_044351045.1,0.0007934933544931561
FW_AS_rep_2,GCA_033809735.1,0.0007651543061184006
FW_AS_rep_2,GCA_022707605.1,0.0007651543061184006
FW_AS_rep_2,GCA_044224235.1,0.0007368152577436449
FW_AS_rep_2,GCA_016707485.1,0.0007368152577436449
FW_AS_rep_2,GCA_002071235.1,0.0006801371609941339
FW_AS_rep_2,GCA_963748985.1,0.0006801371609941339
FW_AS_rep_2,GCA_036569545.1,0.0006801371609941339
FW_AS_rep_2,GCA_937898325.1,0.0006517981126193782
FW_AS_rep_2,GCA_937869105.1,0.0006234590642446227
FW_AS_rep_2,GCA_016793045.1,0.0006234590642446227
FW_AS_rep_2,GCA_035376025.1,0.0005951200158698671
FW_AS_rep_2,GCF_000146065.2,0.0005951200158698671
FW_AS_rep_2,GCA_035416805.1,0.000538441919120356
FW_AS_rep_2,GCA_035421885.1,0.000538441919120356
FW_AS_rep_2,GCF_041654235.1,0.000538441919120356
FW_AS_rep_2,GCA_009783195.1,0.0005101028707456003
FW_AS_rep_2,GCA_050950105.1,0.0004817638223708448
FW_AS_rep_2,GCA_050948525.1,0.0004534247739960892
FW_AS_rep_2,GCA_963751515.1,0.0004534247739960892
FW_AS_rep_2,GCA_048474495.1,0.0004534247739960892
FW_AS_rep_2,GCA_035394325.1,0.00042508572562133365
FW_AS_rep_2,GCA_041907565.1,0.00042508572562133365
FW_AS_rep_2,GCA_048240105.1,0.00042508572562133365
FW_AS_rep_2,GCA_028690755.1,0.00036840762887182247
