sample,group,potential
FW_TWAS_AS_rep_1,X_ch,0.22493011253673578
FW_TWAS_AS_rep_1,X_pr,0.22536548373853948
FW_TWAS_AS_rep_1,X_li,0.1301926534537548
FW_TWAS_AS_rep_1,X_su,0.16390605756511428
FW_TWAS_AS_rep_1,X_aa,0.2434614902157552
FW_TWAS_AS_rep_1,X_fa,0.24727483692925245
FW_TWAS_AS_rep_1,X_ac_et,0.22088559959859513
FW_TWAS_AS_rep_1,X_ac_lac,0.22136069994982444
FW_TWAS_AS_rep_1,X_chain_et,0.21177969045505426
FW_TWAS_AS_rep_1,X_chain_lac,0.2129730843667121
FW_TWAS_AS_rep_1,X_VFA_deg,0.257615194848637
FW_TWAS_AS_rep_1,X_Me_ac,0.07045840999052243
FW_TWAS_AS_rep_1,X_Me_CO2,0.027924123320510676
FW_TWAS_AS_rep_1,X_et,0.18540516808830912
FW_TWAS_AS_rep_1,X_lac,0.1917335674862017
