sample,cod_group,panel_id,potential,selected,credible,matched_markers,missing_requirements,markers_detected,markers_in_panel,weighted_completeness,requirement_coverage,marker_coverage,marker_contributions
FW_TWAS_AS_rep_2,X_ch,cellulose_utilization,0.053216077569197814,false,false,bgl;cazy_GH5;cazy_GH9,one_of(cazy_CBM3|cazy_GH48),3,5,0.625,0.6666666666666666,1.0,bgl:0.0086109701787;cazy_GH5:0.0213723997971;cazy_GH9:0.0232327075934
FW_TWAS_AS_rep_2,X_ch,xylan_utilization,0.0706494165398275,false,true,cazy_CBM6;cazy_GH10;cazy_GH43;xylA;xylB,"",5,6,0.75,1.0,1.0,cazy_CBM6:0.00531315181239;cazy_GH10:0.0218586166075;cazy_GH43:0.0220136422572;xylA:0.0137937595129;xylB:0.00767024634985
FW_TWAS_AS_rep_2,X_ch,starch_utilization,0.23615439749381917,true,true,agl;cazy_GH13;susC;susD,"",4,4,1.0,1.0,1.0,agl:0.0691213065642;cazy_GH13:0.111183590636;susC:0.0325634397172;susD:0.0232860605768
FW_TWAS_AS_rep_2,X_ch,pectin_utilization,0.11799666594187141,false,true,cazy_CE8;cazy_GH43;cazy_PL1;susC;susD,"",5,5,1.0,1.0,1.0,cazy_CE8:0.0212284474081;cazy_GH43:0.0251584482939;cazy_PL1:0.015760269946;susC:0.0325634397172;susD:0.0232860605768
FW_TWAS_AS_rep_2,X_pr,proteolysis_and_peptide_import,0.239052114242373,true,true,dtpT;endopeptidase;extracellular_protease;oppA;oppB;pepN;pepO,"",7,7,1.0,1.0,1.0,dtpT:0.0224236274465;endopeptidase:0.044652511928;extracellular_protease:0.0747889857479;oppA:0.0436224241399;oppB:0.020775999467;pepN:0.0242659983908;pepO:0.00852256712226
FW_TWAS_AS_rep_2,X_pr,peptide_scavenging,0.2257107138475211,false,true,dppA;dppB;dppC;dtpT;endopeptidase;oppA;oppB;pepA;pepD;pepN;pepO;pepQ;pepT,"",13,13,1.0,1.0,1.0,dppA:0.0279643059659;dppB:0.0133504441858;dppC:0.0134432937728;dtpT:0.0290188119895;endopeptidase:0.0288928018358;oppA:0.0282262744435;oppB:0.0134432937728;pepA:0.00873449328996;pepD:0.00792537546052;pepN:0.0157015283705;pepO:0.00551460225558;pepQ:0.0186296064172;pepT:0.0148658820877
FW_TWAS_AS_rep_2,X_li,lipolysis,0.1475750230189601,true,true,acylglycerol_lipase;esterase;fadD;lipase;lysophospholipase;phospholipase,"",6,6,1.0,1.0,1.0,acylglycerol_lipase:0.0339600127779;esterase:0.0111829866396;fadD:0.0488847548716;lipase:0.014353965838;lysophospholipase:0.0333915853956;phospholipase:0.00580171749629
FW_TWAS_AS_rep_2,X_su,hexose_fermentation,0.1752789180490855,true,true,adhE;gapA;glcP;lctD;pfkA;pfor;pgi;ptsG;pyk,"",9,9,1.0,1.0,1.0,adhE:0.0174371825818;gapA:0.0268899036022;glcP:0.0203711390926;lctD:0.0120791886393;pfkA:0.0265491034136;pfor:0.0248015415443;pgi:0.0225414981884;ptsG:0.0025060344695;pyk:0.0221033265173
FW_TWAS_AS_rep_2,X_su,pentose_fermentation,0.1524837415248374,false,true,adhE;gapA;lctD;pfor;pyk;xylA;xylB;xylF,"",8,8,1.0,1.0,1.0,adhE:0.0174371825818;gapA:0.0268899036022;lctD:0.0120791886393;pfor:0.0248015415443;pyk:0.0221033265173;xylA:0.0200636502006;xylB:0.0111567219634;xylF:0.0179522264758
FW_TWAS_AS_rep_2,X_su,entner_doudoroff,0.1624018351567819,false,true,adhE;eda;edd;gapA;glcP;lctD;pfor;ptsG;pyk,"",9,9,1.0,1.0,1.0,adhE:0.0147545391077;eda:0.0299535573508;edd:0.035352352704;gapA:0.0227529953557;glcP:0.00861855884687;lctD:0.0102208519256;pfor:0.0209859197683;ptsG:0.00106024535248;pyk:0.0187028147454
