sample,marker_id,marker_name,genomes_detected,gene_copies_detected,weighted_abundance,copy_cap_per_genome
FW_TWAS_AS_rep_2,cazy_GH5,GH5 cellulase/mannanase family,17,31,0.0854895991882293,1.0
FW_TWAS_AS_rep_2,cazy_GH9,GH9 endoglucanase family,13,20,0.09293083037375276,1.0
FW_TWAS_AS_rep_2,cazy_GH48,GH48 processive cellulase family,0,0,0.0,1.0
FW_TWAS_AS_rep_2,cazy_GH10,GH10 endoxylanase family,17,25,0.08743446642990022,1.0
FW_TWAS_AS_rep_2,cazy_GH11,GH11 endoxylanase family,0,0,0.0,1.0
FW_TWAS_AS_rep_2,cazy_GH13,GH13 alpha-amylase/pullulanase family,57,194,0.25942837814983943,1.0
FW_TWAS_AS_rep_2,cazy_GH43,GH43 xylan/arabinose debranching family,26,63,0.17610913805738768,1.0
FW_TWAS_AS_rep_2,cazy_PL1,PL1 pectate lyase family,7,8,0.055160944810868716,1.0
FW_TWAS_AS_rep_2,cazy_CE8,CE8 pectin methylesterase family,10,17,0.07429956592818082,1.0
FW_TWAS_AS_rep_2,cazy_CBM3,cellulose-binding module family 3,0,0,0.0,1.0
FW_TWAS_AS_rep_2,cazy_CBM6,xylan/cellulose-binding module family 6,3,5,0.04250521449912622,1.0
FW_TWAS_AS_rep_2,bgl,beta-glucosidase,25,43,0.06888776142961837,1.0
FW_TWAS_AS_rep_2,agl,alpha-glucosidase or maltodextrin glucosidase,53,144,0.2419245729748013,1.0
FW_TWAS_AS_rep_2,susC,SusC-like outer-membrane glycan transporter,40,315,0.22794407802018155,1.0
FW_TWAS_AS_rep_2,susD,SusD-like glycan-binding protein,20,134,0.16300242403743168,1.0
FW_TWAS_AS_rep_2,extracellular_protease,secreted or cell-surface endopeptidase,62,201,0.27422628107559616,1.0
FW_TWAS_AS_rep_2,pepN,aminopeptidase N,57,152,0.26692598229888936,1.0
FW_TWAS_AS_rep_2,pepO,endopeptidase O,33,46,0.09374823834488981,1.0
FW_TWAS_AS_rep_2,oppA,oligopeptide transporter substrate-binding protein,63,181,0.23992333276960373,1.0
FW_TWAS_AS_rep_2,oppB,oligopeptide transporter permease,57,175,0.22853599413721182,1.0
FW_TWAS_AS_rep_2,endopeptidase,broad bacterial endopeptidase,46,86,0.24558881560403634,1.0
FW_TWAS_AS_rep_2,pepA,leucyl aminopeptidase,53,68,0.1484863859293083,1.0
FW_TWAS_AS_rep_2,pepT,tripeptide aminopeptidase,57,97,0.25271999549016294,1.0
FW_TWAS_AS_rep_2,pepQ,Xaa-Pro aminopeptidase,79,183,0.3167033090929592,1.0
FW_TWAS_AS_rep_2,pepD,bacterial dipeptidase,36,56,0.13473138282879527,1.0
FW_TWAS_AS_rep_2,dtpT,proton-dependent oligopeptide transporter,49,78,0.24665990191104345,1.0
FW_TWAS_AS_rep_2,dppA,dipeptide transport substrate-binding protein,63,187,0.2376966007102994,1.0
FW_TWAS_AS_rep_2,dppB,dipeptide transport permease protein,56,160,0.22695755115846442,1.0
FW_TWAS_AS_rep_2,dppC,dipeptide transport permease protein,57,163,0.22853599413721182,1.0
FW_TWAS_AS_rep_2,lipase,extracellular triacylglycerol lipase,18,28,0.05741586335193641,1.0
FW_TWAS_AS_rep_2,esterase,carboxylesterase,34,68,0.13419583967529175,1.0
FW_TWAS_AS_rep_2,lysophospholipase,lysophospholipase,55,99,0.20034951237386547,1.0
FW_TWAS_AS_rep_2,acylglycerol_lipase,acylglycerol lipase,60,147,0.2037600766672304,1.0
FW_TWAS_AS_rep_2,phospholipase,phospholipase A,7,7,0.03481030497773268,1.0
FW_TWAS_AS_rep_2,ptsG,glucose-specific PTS transporter,3,17,0.01378318958227634,1.0
FW_TWAS_AS_rep_2,glcP,glucose transporter,26,50,0.11204126500930155,1.0
FW_TWAS_AS_rep_2,pgi,glucose-6-phosphate isomerase,61,69,0.2479564800721574,1.0
FW_TWAS_AS_rep_2,pfkA,6-phosphofructokinase,66,177,0.292040137550031,1.0
FW_TWAS_AS_rep_2,gapA,glyceraldehyde-3-phosphate dehydrogenase,72,87,0.2957889396245561,1.0
