sample,marker_id,marker_name,genomes_detected,gene_copies_detected,weighted_abundance,copy_cap_per_genome
FW_TWAS_rep_1,cazy_GH5,GH5 cellulase/mannanase family,4,6,0.026087378170004366,1.0
FW_TWAS_rep_1,cazy_GH9,GH9 endoglucanase family,4,4,0.03331232119478252,1.0
FW_TWAS_rep_1,cazy_GH48,GH48 processive cellulase family,0,0,0.0,1.0
FW_TWAS_rep_1,cazy_GH10,GH10 endoxylanase family,6,9,0.02841487659409397,1.0
FW_TWAS_rep_1,cazy_GH11,GH11 endoxylanase family,0,0,0.0,1.0
FW_TWAS_rep_1,cazy_GH13,GH13 alpha-amylase/pullulanase family,26,88,0.1837269068515735,1.0
FW_TWAS_rep_1,cazy_GH43,GH43 xylan/arabinose debranching family,13,31,0.11496872423992631,1.0
FW_TWAS_rep_1,cazy_PL1,PL1 pectate lyase family,2,2,0.016195509867623525,1.0
FW_TWAS_rep_1,cazy_CE8,CE8 pectin methylesterase family,7,10,0.03486398681084226,1.0
FW_TWAS_rep_1,cazy_CBM3,cellulose-binding module family 3,0,0,0.0,1.0
FW_TWAS_rep_1,cazy_CBM6,xylan/cellulose-binding module family 6,2,2,0.004654996848179218,1.0
FW_TWAS_rep_1,bgl,beta-glucosidase,16,36,0.05988459486980556,1.0
FW_TWAS_rep_1,agl,alpha-glucosidase or maltodextrin glucosidase,23,65,0.16156718227222036,1.0
FW_TWAS_rep_1,susC,SusC-like outer-membrane glycan transporter,25,118,0.17713232798331963,1.0
FW_TWAS_rep_1,susD,SusD-like glycan-binding protein,7,38,0.11007127963923774,1.0
FW_TWAS_rep_1,extracellular_protease,secreted or cell-surface endopeptidase,30,102,0.1901760170683218,1.0
FW_TWAS_rep_1,pepN,aminopeptidase N,35,96,0.21374193861222904,1.0
FW_TWAS_rep_1,pepO,endopeptidase O,19,24,0.08456577607525577,1.0
FW_TWAS_rep_1,oppA,oligopeptide transporter substrate-binding protein,37,115,0.211220481986132,1.0
FW_TWAS_rep_1,oppB,oligopeptide transporter permease,34,108,0.20661397468845463,1.0
FW_TWAS_rep_1,endopeptidase,broad bacterial endopeptidase,23,50,0.17907191000339426,1.0
FW_TWAS_rep_1,pepA,leucyl aminopeptidase,29,36,0.1197691897396111,1.0
FW_TWAS_rep_1,pepT,tripeptide aminopeptidase,25,48,0.16665858507491635,1.0
FW_TWAS_rep_1,pepQ,Xaa-Pro aminopeptidase,39,91,0.22431266062163605,1.0
FW_TWAS_rep_1,pepD,bacterial dipeptidase,20,31,0.060175532172816765,1.0
FW_TWAS_rep_1,dtpT,proton-dependent oligopeptide transporter,27,58,0.1752412355137468,1.0
FW_TWAS_rep_1,dppA,dipeptide transport substrate-binding protein,37,120,0.2107840760316152,1.0
FW_TWAS_rep_1,dppB,dipeptide transport permease protein,34,98,0.20661397468845463,1.0
FW_TWAS_rep_1,dppC,dipeptide transport permease protein,34,98,0.20661397468845463,1.0
FW_TWAS_rep_1,lipase,extracellular triacylglycerol lipase,9,11,0.046016583426271636,1.0
FW_TWAS_rep_1,esterase,carboxylesterase,17,26,0.06323037385443436,1.0
FW_TWAS_rep_1,lysophospholipase,lysophospholipase,28,42,0.16593124181738841,1.0
FW_TWAS_rep_1,acylglycerol_lipase,acylglycerol lipase,31,69,0.13868011443533917,1.0
FW_TWAS_rep_1,phospholipase,phospholipase A,8,8,0.036512631527905744,1.0
FW_TWAS_rep_1,ptsG,glucose-specific PTS transporter,7,33,0.018959414246229937,1.0
FW_TWAS_rep_1,glcP,glucose transporter,13,36,0.04761673859283324,1.0
FW_TWAS_rep_1,pgi,glucose-6-phosphate isomerase,26,31,0.1588517674441158,1.0
FW_TWAS_rep_1,pfkA,6-phosphofructokinase,35,94,0.2167967802938467,1.0
FW_TWAS_rep_1,gapA,glyceraldehyde-3-phosphate dehydrogenase,35,47,0.2101537118750909,1.0
FW_TWAS_rep_1,pyk,pyruvate kinase,40,47,0.214129855016244,1.0
FW_TWAS_rep_1,xylA,xylose isomerase,12,15,0.04907142510788925,1.0
FW_TWAS_rep_1,xylB,xylulokinase,9,17,0.037094506133928146,1.0
