sample,group,value
FW_TWAS_rep_2,X_ch,0.06860637696437093
FW_TWAS_rep_2,X_pr,0.081594092026679
FW_TWAS_rep_2,X_li,0.05037123022754867
FW_TWAS_rep_2,X_su,0.054340183044151814
FW_TWAS_rep_2,X_aa,0.0827576842451895
FW_TWAS_rep_2,X_fa,0.0927815172742816
FW_TWAS_rep_2,X_ac_et,0.07952100683818397
FW_TWAS_rep_2,X_ac_lac,0.07910429068776928
FW_TWAS_rep_2,X_chain_et,0.07876126546859276
FW_TWAS_rep_2,X_chain_lac,0.07833928568023249
FW_TWAS_rep_2,X_VFA_deg,0.09084317723127229
FW_TWAS_rep_2,X_Me_ac,0.022986897682048302
FW_TWAS_rep_2,X_Me_CO2,0.010787127434531193
FW_TWAS_rep_2,X_et,0.0643712214338792
FW_TWAS_rep_2,X_lac,0.06483464376126906
