sample,feature_id,genome_id
FW_TWAS_AS_rep_2,ASV_515e1ef7ddf9e303b5139961e91b3b1099512289,GCA_016703135.1
FW_TWAS_AS_rep_2,ASV_6a0814351fde81d1299453270d106cd15a127855,GCA_963765065.1
FW_TWAS_AS_rep_2,ASV_3507349652070dab39b51e33ebd6effd9ef19624,GCA_023261595.1
FW_TWAS_AS_rep_2,ASV_924eab0b540d526ec0e9699ed39706c3bd405c93,GCA_046351615.1
FW_TWAS_AS_rep_2,ASV_429fc68f4c3bb63014b0cee6f0f94fc25a147942,GCA_017347485.1
FW_TWAS_AS_rep_2,ASV_28b10429f63e4beebd98ee0688e39866a2cd0cce,GCA_046331075.1
FW_TWAS_AS_rep_2,ASV_c890b4a363c22ce6aba6adab8546c51d768b41c3,GCA_035426845.1
FW_TWAS_AS_rep_2,ASV_2ba925ddc020635fab04132eb39566742bcd260c,GCA_020890945.1
FW_TWAS_AS_rep_2,ASV_415997c454be2afb5023782f88a1a22be96ec26f,GCA_046347895.1
FW_TWAS_AS_rep_2,ASV_d4bdd760b9e236216ed004f02234f88c84c30d34,GCA_002773975.1
FW_TWAS_AS_rep_2,ASV_f679ebb6e9c4d53999a91414d6dbad6b6a298818,GCA_034676565.1
FW_TWAS_AS_rep_2,ASV_b5259cf9333b28d9b4a9cf69802009032231f59c,GCA_016722305.1
FW_TWAS_AS_rep_2,ASV_d24bcc38c2126dbc0da3ba2bf8edc2536473f9c0,GCA_044229175.1
FW_TWAS_AS_rep_2,ASV_f9d2ad0ad139413a930f1e5653779d8f0cdcca65,GCA_044238845.1
FW_TWAS_AS_rep_2,ASV_eef4e0e52962f746afe2e4aca624b4e8e4ebd2ba,GCA_027492415.1
FW_TWAS_AS_rep_2,ASV_f3dc7c1069913fa5864fe975fa8af5bd98f89099,GCA_046329365.1
FW_TWAS_AS_rep_2,ASV_cc57013395aef6348f93665155c337c487e82a4d,GCF_029870285.2
FW_TWAS_AS_rep_2,ASV_ee2eb447ce0a6bf61a723abbded9768bf0c61d72,GCF_046764005.1
FW_TWAS_AS_rep_2,ASV_4fc0cd3add292d9baf388508ff26bb40bbe27f89,GCA_016191845.1
FW_TWAS_AS_rep_2,ASV_ed596fe5b4c4f28c636679abe5e50f45d22b8a21,GCA_044223705.1
FW_TWAS_AS_rep_2,ASV_8147491df80b0ac7ca1f8fde61d6d627be2c1aaa,GCA_016719255.1
FW_TWAS_AS_rep_2,ASV_40fdd4aee16b72ba7bd404cf66b852363a3b8708,GCA_016707525.1
FW_TWAS_AS_rep_2,ASV_f5a2eee82f28e21cb66939577af0616b2f8d0c9c,GCA_021808285.1
FW_TWAS_AS_rep_2,ASV_3d555b727fdc12c8957ba60a6268b167d9a9b20b,GCA_024235995.1
FW_TWAS_AS_rep_2,ASV_f57d343105ff9cdb54f36f2de2df238c85b55824,GCA_044230475.1
FW_TWAS_AS_rep_2,ASV_8f6a93e9cfed72146e1cd1e9e83950121b73a726,GCA_046330055.1
FW_TWAS_AS_rep_2,ASV_507e90e189c7f210f355a89973e299ed8c631a62,GCA_048499395.1
FW_TWAS_AS_rep_2,ASV_6eed6a30e0ff7a58dc0bb35b3181039ee0b64cf2,GCA_046329225.1
FW_TWAS_AS_rep_2,ASV_c66e04989ab20bc6bdbed79cbb2f9f2b68aef3c4,GCA_049291395.1
FW_TWAS_AS_rep_2,ASV_e243432c04867ba1c7af0f904e9eace671d7318b,GCA_016706645.1
FW_TWAS_AS_rep_2,ASV_ba4ace83ab5b1e9111e02978e29d8d4d0d227006,GCA_018003655.1
FW_TWAS_AS_rep_2,ASV_8c4ec83e8edc7b77f58437170a44b94c0a42c23e,GCA_016704885.1
FW_TWAS_AS_rep_2,ASV_e6cc8c01692049634a8d4574d8041cc2481deacf,GCF_002978245.1
FW_TWAS_AS_rep_2,ASV_41353b814c7d8d12beaeacfb9543f30bd1d7bfb6,GCA_044220615.1
FW_TWAS_AS_rep_2,ASV_3c5783b680cabc83c92b3da53817f5943cd86e58,GCA_017999195.1
FW_TWAS_AS_rep_2,ASV_0351bcd9e2a8e83ec65329abd00ec91b608c68af,GCA_037045785.1
FW_TWAS_AS_rep_2,ASV_6689d87879f9a0a2690c371451e02cb07f563980,GCA_046351595.1
FW_TWAS_AS_rep_2,ASV_b75c1d7f43723276a912cee36a69efc7facdc33f,GCA_035367445.1
FW_TWAS_AS_rep_2,ASV_ec9ea72ec9ca693c1270876a5c151286d67ba7dd,GCA_037200505.1
FW_TWAS_AS_rep_2,ASV_743663415a523913c4df4b38d7e3887cc326cfb7,GCA_937871025.1
FW_TWAS_AS_rep_2,ASV_cf4a2df85e9feb9aa90b46fc9d3bfbacb484da03,GCA_963779235.1
FW_TWAS_AS_rep_2,ASV_55847c1161fb37e9ef89b3920c656a88cd27abca,GCA_016707485.1
FW_TWAS_AS_rep_2,ASV_541c15a3f123802a455e7cd9d6e50124418ced4a,GCA_965229115.1
FW_TWAS_AS_rep_2,ASV_53a46e84e63092f99551e72a13592f5424751b31,GCA_937898325.1
FW_TWAS_AS_rep_2,ASV_9627f994d3f8162b004c61b4f43fee3ef122e05e,GCA_046351615.1
FW_TWAS_AS_rep_2,ASV_4726a74fab340b043fde835d068f06e8cfe6c4d7,GCF_026261605.1
FW_TWAS_AS_rep_2,ASV_a2cbf087989d1fcbda05dea24f34d56cec6429d6,GCA_004138365.1
FW_TWAS_AS_rep_2,ASV_e3ab2a3660fbbd27325bba0a6326ca39acb4626b,GCA_963765065.1
FW_TWAS_AS_rep_2,ASV_8b26957de2489694461f49ca5eb4458435388ed7,GCA_016721435.1
FW_TWAS_AS_rep_2,ASV_ac9ae1efa43a9310197716e2d98f9ae73693b24f,GCA_035374025.1
FW_TWAS_AS_rep_2,ASV_e4c898a9e8a211d5a198b8ea8fd4505053ee3672,GCA_963736865.1
FW_TWAS_AS_rep_2,ASV_e8670186245818f91c2d044c501ce80dd46ee96e,GCA_036569545.1
FW_TWAS_AS_rep_2,ASV_1b636d6c9298da410b93c7229bed6e4a8cf87d48,GCA_022484585.1
FW_TWAS_AS_rep_2,ASV_c8a4ae9e13886238101e51531d9a7ba61fccd816,GCA_014642275.1
FW_TWAS_AS_rep_2,ASV_6f903c46e5df0b0c80b1f5c6dc4859498eb66f49,GCA_016711875.1
FW_TWAS_AS_rep_2,ASV_f5bf2c9080baaf7020b0f7d8c05385961e7c0281,GCA_947442085.1
FW_TWAS_AS_rep_2,ASV_1cf401fe7ff5ace6a2dfa2fef1119ff466ad1b8f,GCA_937858715.1
FW_TWAS_AS_rep_2,ASV_229cbe75af3dfc6518a9294400c2c83c8156be1e,GCA_046331345.1
FW_TWAS_AS_rep_2,ASV_f5f718c6adb4c5bc7769258bd047bd33c2befa44,GCA_963765065.1
FW_TWAS_AS_rep_2,ASV_f58407e8ebaa7548723817128a38563a07add220,GCF_963887565.1
FW_TWAS_AS_rep_2,ASV_78fb056be8dc9daf9f78bf19299866a757cceed9,GCA_964463165.1
FW_TWAS_AS_rep_2,ASV_9410639e2f815d664ae167c9a37ff865e1365b8c,GCA_937869105.1
FW_TWAS_AS_rep_2,ASV_36f6bece205d991b8b0f048078f382ca0d29e15b,GCA_903922995.1
FW_TWAS_AS_rep_2,ASV_30e7080ac4fc71c489451c597fc833d2049d79b1,GCA_016699385.1
FW_TWAS_AS_rep_2,ASV_87da0899c8c78b2c098c021386fe96c8123cf60d,GCA_016704085.1
FW_TWAS_AS_rep_2,ASV_b008c33eebc30fb76d2cf9f4c285476ee09d1aac,GCA_005518185.1
