sample,genome_id,genome_abundance,cod_group,score,credible,configured,panel_id,confidence,matched_markers,missing_requirements,markers_detected,markers_in_panel,weighted_completeness,requirement_coverage,marker_coverage
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_ch,1.0,true,true,starch_utilization,high,agl;cazy_GH13;susC;susD,"",4,4,1.0,1.0,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_pr,0.9090909090909091,true,true,proteolysis_and_peptide_import,high,dtpT;endopeptidase;extracellular_protease;oppA;oppB;pepN,"",6,7,0.9090909090909091,1.0,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_li,0.3333333333333333,false,true,lipolysis,partial,fadD;lysophospholipase,"",2,6,0.3333333333333333,1.0,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_su,0.48636363636363633,false,true,hexose_fermentation,partial,gapA;lctD;pfkA;pfor;pgi;pyk,one_of(ptsG|glcP),6,9,0.5454545454545454,0.8333333333333334,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_aa,0.8,true,true,general_amino_acid_catabolism,medium,dppA;dtpT;gdh;ilvE;oppA;pfor,"",6,7,0.8,1.0,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_fa,1.0,true,true,lcfa_beta_oxidation,high,etfA;etfB;fadA;fadB;fadD;fadE,"",6,6,1.0,1.0,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_ac_et,0.0,false,true,ethanol_acetate_chain_initiation,none,acs;adh;bcd;crt;etfA;etfB;hbd;pta;thl,one_of(adhE|aldh),9,12,0.7333333333333333,0.8571428571428571,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_ac_lac,0.9375,true,true,lactate_acetate_chain_initiation,high,acs;bcd;crt;etfA;etfB;hbd;lctB;lctC;lctD;pfor;pta;thl,"",12,13,0.9375,1.0,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_chain_et,0.0,false,true,ethanol_reverse_beta_oxidation,none,adh;bcd;cat;crt;etfA;etfB;hbd;thl,one_of(adhE|aldh),8,10,0.7692307692307693,0.8888888888888888,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_chain_lac,1.0,true,true,lactate_reverse_beta_oxidation,high,bcd;cat;crt;etfA;etfB;hbd;lctB;lctC;lctD;pfor;thl,"",11,11,1.0,1.0,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_VFA_deg,1.0,true,true,syntrophic_butyrate_oxidation,high,bcd;crt;etfA;etfB;fdhA;hbd;hydA;rnfB;thl,"",9,9,1.0,1.0,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_Me_ac,0.0,false,true,acetoclastic_ack_pta,none,pta,mcrA;ackA;one_of(cdhC|cdhD|cdhE),1,8,0.1111111111111111,0.25,0.2
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_Me_CO2,0.0,false,true,hydrogenotrophic_core,none,fwdA,mcrA;one_of(ftr);one_of(mch);one_of(mtd|mer),1,8,0.1111111111111111,0.2,0.16666666666666666
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_et,0.31333333333333335,false,true,ethanol_to_acetyl_coa,partial,acs;adh;pta,one_of(adhE|aldh),3,6,0.4,0.6666666666666666,1.0
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356,X_lac,1.0,true,true,lactate_to_pyruvate,high,lctB;lctC;lctD;pfor;rnfB,"",5,5,1.0,1.0,1.0
FW_TWAS_rep_2,GCA_963746195.1,0.013624093133119622,X_ch,1.0,true,true,starch_utilization,high,agl;cazy_GH13;susC;susD,"",4,4,1.0,1.0,1.0
FW_TWAS_rep_2,GCA_963746195.1,0.013624093133119622,X_pr,1.0,true,true,proteolysis_and_peptide_import,high,dtpT;endopeptidase;extracellular_protease;oppA;oppB;pepN;pepO,"",7,7,1.0,1.0,1.0
FW_TWAS_rep_2,GCA_963746195.1,0.013624093133119622,X_li,0.5833333333333334,true,true,lipolysis,low,acylglycerol_lipase;fadD;lipase,"",3,6,0.5833333333333334,1.0,1.0
FW_TWAS_rep_2,GCA_963746195.1,0.013624093133119622,X_su,0.4336742424242424,false,true,hexose_fermentation,partial,gapA;glcP;pfkA;pfor;pyk,pgi,5,9,0.5454545454545454,0.8333333333333334,0.8333333333333334
FW_TWAS_rep_2,GCA_963746195.1,0.013624093133119622,X_aa,1.0,true,true,general_amino_acid_catabolism,high,dppA;dtpT;gdh;ilvE;oppA;pfor;tdcB,"",7,7,1.0,1.0,1.0
FW_TWAS_rep_2,GCA_963746195.1,0.013624093133119622,X_fa,1.0,true,true,lcfa_beta_oxidation,high,etfA;etfB;fadA;fadB;fadD;fadE,"",6,6,1.0,1.0,1.0
