sample,feature_id,genome_id
FW_AS_rep_1,ASV_3df6d89481a9488de8f36f2ff4f634e0c5262fd3,GCA_018242085.1
FW_AS_rep_1,ASV_a4d2d87446c6d4b2b33126939f49599ca605a121,GCA_035364515.1
FW_AS_rep_1,ASV_ccf296f381f383d809a193258393cbb52af560c8,GCA_029778075.1
FW_AS_rep_1,ASV_88cce8aafa887f95fe2c1a2391a22ff6bedc3049,GCA_022708185.1
FW_AS_rep_1,ASV_44c8484481a00fd6ca6d80da73d71fe29810d91b,GCA_035351355.1
FW_AS_rep_1,ASV_20a6ff46c98724d3c12db54098afecb3f075cf3b,GCA_040766455.1
FW_AS_rep_1,ASV_109cb898ec8d1aff9b8e6071cb4a87ec3f137f66,GCA_035377605.1
FW_AS_rep_1,ASV_a2cbf087989d1fcbda05dea24f34d56cec6429d6,GCA_004138365.1
FW_AS_rep_1,ASV_5097a82e0f5f87951ce61ac1fe1e75617c27e621,GCA_022838865.1
FW_AS_rep_1,ASV_5a5ff298830725179315759528eb435c1302e2c2,GCA_035332425.1
FW_AS_rep_1,ASV_4c23e6df674648a37ffd38406505bf3569a153e9,GCA_029554505.1
FW_AS_rep_1,ASV_145517bf44587afa44ffc717d21e6d56abb61a26,GCA_035415525.1
FW_AS_rep_1,ASV_598cf233b896fe83e4951a8493ce0468ff6669df,GCA_033810415.1
FW_AS_rep_1,ASV_988e395351d3c08015c58be8b600ec79e81f8278,GCA_002849245.1
FW_AS_rep_1,ASV_8f41a71c68a76c9279485c2d8577eed8367fbd33,GCA_002316295.1
FW_AS_rep_1,ASV_1879b331dde869762ee2580b6c7835009f9e1e98,GCA_035361655.1
FW_AS_rep_1,ASV_10ddce4c8dd94d5e047159e739cf71883544f000,GCA_046347895.1
FW_AS_rep_1,ASV_54c8f660bb01858a39272e2eb2aae62c798b453c,GCA_029547385.1
FW_AS_rep_1,ASV_8f3fb3f37003141387237e917396ba80a63e6fb2,GCA_016714645.1
FW_AS_rep_1,ASV_503d949d9c02a2afcab65f57ecdaf7acb7a3f311,GCA_035367605.1
FW_AS_rep_1,ASV_b63bc6392b66e6defb5e027e87f3b6f5352b955a,GCF_049943315.1
