sample,feature_id,genome_id
FW_TWAS_rep_1,ASV_550affa22df5272fe67a1e76cd5db2c6ae0d5a2c,GCA_018604165.1
FW_TWAS_rep_1,ASV_13b5cc158e804e39782942ac82d4cfaca887cf9a,GCA_016710995.1
FW_TWAS_rep_1,ASV_60519b721ecb986ed0f655be3110c41d2f71adcc,GCA_016704225.1
FW_TWAS_rep_1,ASV_d697e52ad2744602560297755934f30180af1754,GCA_963746195.1
FW_TWAS_rep_1,ASV_adc2810f28015be90c08531e53e29c554097897a,GCA_016707685.1
FW_TWAS_rep_1,ASV_67a59d936b938b0736e89fe5bfdd76e1ee92095b,GCA_016722395.1
FW_TWAS_rep_1,ASV_b29db807d1e5d7ee44301c4ddde71b3febf23e33,GCA_016722575.1
FW_TWAS_rep_1,ASV_5693674871d0fd53ab726528df017427f96797fa,GCA_019636095.1
FW_TWAS_rep_1,ASV_18bad7fa31d83051942ecdc9a71a2370877bd259,GCA_050183115.1
FW_TWAS_rep_1,ASV_ecd64eb2b45d2a03785280a578249f504e9ff744,GCA_017347485.1
FW_TWAS_rep_1,ASV_30a7a410a2741d083dbf0e51d826e33a5b78253d,GCF_034925685.1
FW_TWAS_rep_1,ASV_1b636d6c9298da410b93c7229bed6e4a8cf87d48,GCA_022484585.1
FW_TWAS_rep_1,ASV_f242f4efe99126488074472ad6e1de1f228e634e,GCA_039809345.1
FW_TWAS_rep_1,ASV_f545f0ec83acdddd76e73b2cee5419e708626c1f,GCA_035248525.1
FW_TWAS_rep_1,ASV_0dcc803e23fc9d875f565e04b06f486c891bc2db,GCA_036839835.1
FW_TWAS_rep_1,ASV_e586a5584430cacd10472a14994f8107cf912e7d,GCA_943370345.1
FW_TWAS_rep_1,ASV_03f13404d3e3ad5db9adb9785424b5e0182ea162,GCA_032654705.1
FW_TWAS_rep_1,ASV_93abde6c892d8e5acbf57007ded497de4cb506a4,GCF_003640395.1
FW_TWAS_rep_1,ASV_9818bbd41a2be9fa0e8e8173c39207f93c030b1b,GCA_016185255.1
FW_TWAS_rep_1,ASV_5a5ff298830725179315759528eb435c1302e2c2,GCA_035332425.1
FW_TWAS_rep_1,ASV_ba4ace83ab5b1e9111e02978e29d8d4d0d227006,GCA_018003655.1
FW_TWAS_rep_1,ASV_5c284b1a79c2c441b697b05d81e5ec070ca87735,GCA_033763945.1
FW_TWAS_rep_1,ASV_00f4321b2c8c4ae5cc11f91f528f1fd3089a3ae0,GCA_046329585.1
FW_TWAS_rep_1,ASV_fbb641edd647e1cfc20b088993de610e25657973,GCA_044227805.1
FW_TWAS_rep_1,ASV_42a5f3db3916f3cf955b344fc578b5fbc748b077,GCA_016711875.1
FW_TWAS_rep_1,ASV_40fdd4aee16b72ba7bd404cf66b852363a3b8708,GCA_016707525.1
FW_TWAS_rep_1,ASV_a086ba8d8397a0f08259cce5cb026255f97eb71e,GCA_963695105.1
FW_TWAS_rep_1,ASV_90c25ba252d68dbc8a2253d662187e5474548140,GCA_965231145.1
FW_TWAS_rep_1,ASV_99fa2e53f0f36f723e9c822e65b149eca071a9b6,GCA_044230255.1
FW_TWAS_rep_1,ASV_1de5b7d9788386cd563cedda101ad1fca030ff14,GCA_046329965.1
FW_TWAS_rep_1,ASV_f8c7e3ecc1dcf63c83a43f6cf1e50d614c0c4534,GCA_016712025.1
FW_TWAS_rep_1,ASV_32f4217d7b32cc8f1b77f8fad479d3ebc50bf85e,GCA_048500275.1
FW_TWAS_rep_1,ASV_7ff32ccf29f11af7bc5cd9a20117993ef55cf564,GCA_044222735.1
FW_TWAS_rep_1,ASV_253093fb492f6012d4fb04c3f88b1264d4b93c54,GCA_035434385.1
FW_TWAS_rep_1,ASV_f58407e8ebaa7548723817128a38563a07add220,GCF_963887565.1
FW_TWAS_rep_1,ASV_3849b145f3d93a0a4ddf4616986dbd198b772b5f,GCA_016710525.1
FW_TWAS_rep_1,ASV_2b02879744c878aa174391b244a8214db6104dbf,GCA_903917465.1
