sample,genome_id,group,value
FW_TWAS_rep_2,GCA_044230255.1,X_ch,1.0
FW_TWAS_rep_2,GCA_044230255.1,X_pr,0.9090909090909091
FW_TWAS_rep_2,GCA_044230255.1,X_li,0.3333333333333333
FW_TWAS_rep_2,GCA_044230255.1,X_su,0.48636363636363633
FW_TWAS_rep_2,GCA_044230255.1,X_aa,0.8
FW_TWAS_rep_2,GCA_044230255.1,X_fa,1.0
FW_TWAS_rep_2,GCA_044230255.1,X_ac_et,0.0
FW_TWAS_rep_2,GCA_044230255.1,X_ac_lac,0.9375
FW_TWAS_rep_2,GCA_044230255.1,X_chain_et,0.0
FW_TWAS_rep_2,GCA_044230255.1,X_chain_lac,1.0
FW_TWAS_rep_2,GCA_044230255.1,X_VFA_deg,1.0
FW_TWAS_rep_2,GCA_044230255.1,X_Me_ac,0.0
FW_TWAS_rep_2,GCA_044230255.1,X_Me_CO2,0.0
FW_TWAS_rep_2,GCA_044230255.1,X_et,0.31333333333333335
FW_TWAS_rep_2,GCA_044230255.1,X_lac,1.0
FW_TWAS_rep_2,GCA_963746195.1,X_ch,1.0
FW_TWAS_rep_2,GCA_963746195.1,X_pr,1.0
FW_TWAS_rep_2,GCA_963746195.1,X_li,0.5833333333333334
FW_TWAS_rep_2,GCA_963746195.1,X_su,0.4336742424242424
FW_TWAS_rep_2,GCA_963746195.1,X_aa,1.0
FW_TWAS_rep_2,GCA_963746195.1,X_fa,1.0
FW_TWAS_rep_2,GCA_963746195.1,X_ac_et,0.7333333333333333
FW_TWAS_rep_2,GCA_963746195.1,X_ac_lac,0.0
FW_TWAS_rep_2,GCA_963746195.1,X_chain_et,0.0
FW_TWAS_rep_2,GCA_963746195.1,X_chain_lac,0.0
FW_TWAS_rep_2,GCA_963746195.1,X_VFA_deg,0.6890624999999999
FW_TWAS_rep_2,GCA_963746195.1,X_Me_ac,0.0
FW_TWAS_rep_2,GCA_963746195.1,X_Me_CO2,0.0
FW_TWAS_rep_2,GCA_963746195.1,X_et,0.5
FW_TWAS_rep_2,GCA_963746195.1,X_lac,0.08027777777777777
FW_TWAS_rep_2,GCA_034676565.1,X_ch,0.5714285714285714
FW_TWAS_rep_2,GCA_034676565.1,X_pr,0.7058823529411765
FW_TWAS_rep_2,GCA_034676565.1,X_li,0.6666666666666666
FW_TWAS_rep_2,GCA_034676565.1,X_su,0.48636363636363633
FW_TWAS_rep_2,GCA_034676565.1,X_aa,0.9
FW_TWAS_rep_2,GCA_034676565.1,X_fa,1.0
FW_TWAS_rep_2,GCA_034676565.1,X_ac_et,0.8666666666666667
FW_TWAS_rep_2,GCA_034676565.1,X_ac_lac,1.0
FW_TWAS_rep_2,GCA_034676565.1,X_chain_et,0.0
FW_TWAS_rep_2,GCA_034676565.1,X_chain_lac,0.0
FW_TWAS_rep_2,GCA_034676565.1,X_VFA_deg,1.0
FW_TWAS_rep_2,GCA_034676565.1,X_Me_ac,0.0
FW_TWAS_rep_2,GCA_034676565.1,X_Me_CO2,0.0
FW_TWAS_rep_2,GCA_034676565.1,X_et,0.7
FW_TWAS_rep_2,GCA_034676565.1,X_lac,1.0
FW_TWAS_rep_2,GCA_032654705.1,X_ch,1.0
FW_TWAS_rep_2,GCA_032654705.1,X_pr,1.0
FW_TWAS_rep_2,GCA_032654705.1,X_li,0.3333333333333333
FW_TWAS_rep_2,GCA_032654705.1,X_su,0.48636363636363633
FW_TWAS_rep_2,GCA_032654705.1,X_aa,1.0
FW_TWAS_rep_2,GCA_032654705.1,X_fa,1.0
FW_TWAS_rep_2,GCA_032654705.1,X_ac_et,0.0
FW_TWAS_rep_2,GCA_032654705.1,X_ac_lac,0.9375
FW_TWAS_rep_2,GCA_032654705.1,X_chain_et,0.0
FW_TWAS_rep_2,GCA_032654705.1,X_chain_lac,1.0
FW_TWAS_rep_2,GCA_032654705.1,X_VFA_deg,1.0
FW_TWAS_rep_2,GCA_032654705.1,X_Me_ac,0.0
FW_TWAS_rep_2,GCA_032654705.1,X_Me_CO2,0.0
FW_TWAS_rep_2,GCA_032654705.1,X_et,0.31333333333333335
FW_TWAS_rep_2,GCA_032654705.1,X_lac,1.0
FW_TWAS_rep_2,GCA_044224235.1,X_ch,0.06508928571428572
FW_TWAS_rep_2,GCA_044224235.1,X_pr,1.0
FW_TWAS_rep_2,GCA_044224235.1,X_li,0.3333333333333333
FW_TWAS_rep_2,GCA_044224235.1,X_su,0.22313131313131312
FW_TWAS_rep_2,GCA_044224235.1,X_aa,0.39166666666666666
FW_TWAS_rep_2,GCA_044224235.1,X_fa,1.0
FW_TWAS_rep_2,GCA_044224235.1,X_ac_et,0.8
FW_TWAS_rep_2,GCA_044224235.1,X_ac_lac,0.0
FW_TWAS_rep_2,GCA_044224235.1,X_chain_et,0.8461538461538461
FW_TWAS_rep_2,GCA_044224235.1,X_chain_lac,0.0
FW_TWAS_rep_2,GCA_044224235.1,X_VFA_deg,0.8421875
FW_TWAS_rep_2,GCA_044224235.1,X_Me_ac,0.0
FW_TWAS_rep_2,GCA_044224235.1,X_Me_CO2,0.0
FW_TWAS_rep_2,GCA_044224235.1,X_et,0.6
FW_TWAS_rep_2,GCA_044224235.1,X_lac,0.4895833333333333
FW_TWAS_rep_2,GCA_044223705.1,X_ch,0.7142857142857143
FW_TWAS_rep_2,GCA_044223705.1,X_pr,0.8235294117647058
FW_TWAS_rep_2,GCA_044223705.1,X_li,0.5
FW_TWAS_rep_2,GCA_044223705.1,X_su,0.6692307692307693
FW_TWAS_rep_2,GCA_044223705.1,X_aa,1.0
FW_TWAS_rep_2,GCA_044223705.1,X_fa,1.0
FW_TWAS_rep_2,GCA_044223705.1,X_ac_et,0.9333333333333333
FW_TWAS_rep_2,GCA_044223705.1,X_ac_lac,0.0
FW_TWAS_rep_2,GCA_044223705.1,X_chain_et,0.0
FW_TWAS_rep_2,GCA_044223705.1,X_chain_lac,0.0
FW_TWAS_rep_2,GCA_044223705.1,X_VFA_deg,0.853125
FW_TWAS_rep_2,GCA_044223705.1,X_Me_ac,0.0
FW_TWAS_rep_2,GCA_044223705.1,X_Me_CO2,0.0
FW_TWAS_rep_2,GCA_044223705.1,X_et,0.9
FW_TWAS_rep_2,GCA_044223705.1,X_lac,0.23010416666666667
