profile_id,score_threshold,score_type
bgl__K01188,764.1,domain
agl__K01187,342.5,full
susC__K21573,628.9,full
susD__K21572,53.6,full
extracellular_protease__K01342,383.93,domain
pepN__K01256,437.2,domain
pepO__K07386,655.93,domain
oppA__K15580,355.23,full
oppB__K15581,350.83,full
oppB__K15582,355.83,domain
endopeptidase__K01318,118.4,domain
endopeptidase__K01337,163.97,full
endopeptidase__K08303,373.17,full
pepA__K01255,416.03,full
pepT__K01258,195.77,full
pepQ__K01262,251.77,full
pepD__K01270,159.1,full
pepD__K05995,80.17,domain
dtpT__K03305,373.67,domain
dppA__K12368,672.33,full
dppA__K16199,724.97,domain
dppB__K12369,481.5,full
dppB__K16200,479.83,full
dppC__K12370,414.4,full
dppC__K16201,517.37,full
lipase__K01046,54.2,full
esterase__K01044,747.6,domain
lysophospholipase__K01048,189.17,domain
lysophospholipase__K06128,419.93,full
lysophospholipase__K06129,572.3,full
lysophospholipase__K06130,299.13,full
acylglycerol_lipase__K01054,217.8,full
phospholipase__K01058,107.5,full
ptsG__K02779,717.33,full
glcP__K08139,408.53,domain
pgi__K01810,119.13,full
pgi__K06859,106.47,full
pfkA__K00850,355.8,full
pfkA__K16370,327.43,domain
gapA__K00134,410.7,full
pyk__K00873,46.23,full
xylA__K01805,110.7,full
xylB__K00854,295.03,full
xylF__K10543,350.07,domain
edd__K01690,511.87,full
eda__K01625,189.37,full
gdh__K00260,634.7,domain
gdh__K00261,526.2,full
gdh__K00262,452.13,domain
gdh__K15371,290.83,full
ilvE__K00826,187.0,full
tdcB__K01754,267.97,domain
grdA__K10670,54.87,full
grdB__K10671,565.23,full
grdB__K10672,412.57,full
prdA__K10793,602.27,domain
prdB__K10794,129.67,domain
fadD__K01897,435.1,domain
fadE__K00249,378.03,full
fadE__K00255,577.03,full
fadB__K01825,751.23,domain
fadA__K00632,495.43,domain
mcrA__K00399,775.53,full
mcrB__K00401,504.3,full
mtrA__K00577,122.77,full
fwdA__K00200,246.03,full
ftr__K00672,207.97,full
mch__K01499,284.77,full
mtd__K00319,336.13,full
mer__K00320,219.9,full
acs__K01895,761.17,domain
ackA__K00925,134.67,domain
pta__K00625,379.3,domain
cdhC__K00197,390.8,full
cdhD__K00194,306.93,full
cdhE__K00195,102.67,full
thl__K00626,487.8,full
hbd__K00074,400.2,domain
crt__K01692,347.5,domain
bcd__K00248,516.07,domain
etfA__K03522,305.23,full
etfB__K03521,72.9,full
cat__K01034,300.47,domain
cat__K01035,312.2,domain
lctD__K00782,97.2,domain
lctB__K18928,247.8,full
lctC__K18929,453.9,full
pfor__K03737,427.97,domain
adhE__K04072,643.77,full
adh__K00001,320.4,domain
aldh__K00132,654.5,full
hydA__K00532,919.57,full
hydA__K00533,562.93,full
fdhA__K00123,841.97,full
rnfB__K03616,74.23,domain
mmcE__K01848,829.47,domain
mmcF__K01849,180.7,domain
mmcG__K05606,79.0,domain
sucC__K01900,576.33,full
sucD__K01899,572.57,full
fumB__K01676,372.33,full
mdh__K00024,355.8,domain
fhs__K01938,905.1,domain
folD__K01491,406.07,domain
