sample,genome_id,gene_id,marker_id,bits,evalue,fident
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000007.1,susD,205,5.082e-58,0.37
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000005.1,susC,484,3.418e-146,0.336
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000011.1,fdhA,44,2.9e-6,0.197
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000002.1,fadB,192,8.002e-56,0.407
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000001.1,susD,129,5.463e-33,0.278
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000010.1,susC,703,2.033e-220,0.43
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000003.1,etfA,163,1.323e-46,0.426
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000007.1,frhB,43,2.033e-7,0.383
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000011.1,extracellular_protease,126,6.523e-31,0.339
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000003.1,hydA,82,1.209e-18,0.278
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000002.1,dppA,158,4.185e-42,0.274
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000001.1,cazy_GH13,128,2.562e-32,0.316
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000006.1,acs,738,1.562e-238,0.553
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000007.1,pfkA,286,6.932e-88,0.49
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000003.1,fdhA,48,5.068e-8,0.432
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000001.1,pfor,42,3.194e-6,0.279
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000002.1,ilvE,66,4.795e-14,0.282
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000006.1,fadD,113,1.015e-27,0.25
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000006.1,fadB,88,2.404e-21,0.308
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000001.1,rnfB,42,4.222e-6,0.365
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000005.1,fadE,240,5.375e-71,0.398
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000001.1,hbd,240,5.136e-73,0.482
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000007.1,pepN,169,1.043e-44,0.289
FW_TWAS_AS_rep_1,GCA_044230255.1,JBGARK010000005.1,dppC,184,1.152e-52,0.434
