sample,cod_group,panel_id,potential,selected,credible,matched_markers,missing_requirements,markers_detected,markers_in_panel,weighted_completeness,requirement_coverage,marker_coverage,marker_contributions
FW_TWAS_rep_1,X_ch,cellulose_utilization,0.022335499199922417,false,false,bgl;cazy_GH5;cazy_GH9,one_of(cazy_CBM3|cazy_GH48),3,5,0.625,0.6666666666666666,1.0,bgl:0.00748557435873;cazy_GH5:0.0065218445425;cazy_GH9:0.0083280802987
FW_TWAS_rep_1,X_ch,xylan_utilization,0.03282742568976386,false,true,cazy_CBM6;cazy_GH10;cazy_GH43;xylA;xylB,"",5,6,0.75,1.0,1.0,cazy_CBM6:0.000581874606022;cazy_GH10:0.00710371914852;cazy_GH43:0.01437109053;xylA:0.00613392813849;xylB:0.00463681326674
FW_TWAS_rep_1,X_ch,starch_utilization,0.1659312418173884,true,true,agl;cazy_GH13;susC;susD,"",4,4,1.0,1.0,1.0,agl:0.0461620520778;cazy_GH13:0.0787401029364;susC:0.0253046182833;susD:0.0157244685199
FW_TWAS_rep_1,X_ch,pectin_utilization,0.0720416178884879,false,true,cazy_CE8;cazy_GH43;cazy_PL1;susC;susD,"",5,5,1.0,1.0,1.0,cazy_CE8:0.00996113908881;cazy_GH43:0.0164241034628;cazy_PL1:0.00462728853361;susC:0.0253046182833;susD:0.0157244685199
FW_TWAS_rep_1,X_pr,proteolysis_and_peptide_import,0.1846614327339731,true,true,dtpT;endopeptidase;extracellular_protease;oppA;oppB;pepN;pepO,"",7,7,1.0,1.0,1.0,dtpT:0.0159310214103;endopeptidase:0.0325585290915;extracellular_protease:0.0518661864732;oppA:0.0384037239975;oppB:0.018783088608;pepN:0.0194310853284;pepO:0.00768779782502
FW_TWAS_rep_1,X_pr,peptide_scavenging,0.17892358902538855,false,true,dppA;dppB;dppC;dtpT;endopeptidase;oppA;oppB;pepA;pepD;pepN;pepO;pepQ;pepT,"",13,13,1.0,1.0,1.0,dppA:0.024798126592;dppB:0.012153763217;dppC:0.012153763217;dtpT:0.0206166159428;endopeptidase:0.0210672835298;oppA:0.024849468469;oppB:0.012153763217;pepA:0.00704524645527;pepD:0.00353973718664;pepN:0.0125730552125;pepO:0.00497445741619;pepQ:0.0131948623895;pepT:0.00980344618088
FW_TWAS_rep_1,X_li,lipolysis,0.10948536423734019,true,true,acylglycerol_lipase;esterase;fadD;lipase;lysophospholipase;phospholipase,"",6,6,1.0,1.0,1.0,acylglycerol_lipase:0.0231133524059;esterase:0.0052691978212;fadD:0.0358580225961;lipase:0.0115041458566;lysophospholipase:0.0276552069696;phospholipase:0.00608543858798
FW_TWAS_rep_1,X_su,hexose_fermentation,0.12365276192071518,true,true,adhE;gapA;glcP;lctD;pfkA;pfor;pgi;ptsG;pyk,"",9,9,1.0,1.0,1.0,adhE:0.00910281107149;gapA:0.0191048828977;glcP:0.00865758883506;lctD:0.0121003469207;pfkA:0.0197087982085;pfor:0.017623747537;pgi:0.0144410697676;ptsG:0.00344716622659;pyk:0.019466350456
FW_TWAS_rep_1,X_su,pentose_fermentation,0.10151948618709032,false,true,adhE;gapA;lctD;pfor;pyk;xylA;xylB;xylF,"",8,8,1.0,1.0,1.0,adhE:0.00910281107149;gapA:0.0191048828977;lctD:0.0121003469207;pfor:0.017623747537;pyk:0.019466350456;xylA:0.00892207729234;xylB:0.00674445566071;xylF:0.00845481435114
FW_TWAS_rep_1,X_su,entner_doudoroff,0.11224957944639852,false,true,adhE;eda;edd;gapA;glcP;lctD;pfor;ptsG;pyk,"",9,9,1.0,1.0,1.0,adhE:0.00770237859895;eda:0.0176576563135;edd:0.0239799477059;gapA:0.0161656701442;glcP:0.0036628260456;lctD:0.0102387550867;pfor:0.014912401762;ptsG:0.00145841648048;pyk:0.0164715273089
FW_TWAS_rep_1,X_aa,glycine_stickland,0.08938009573222686,false,true,grdA;grdB;oppA;oppB;pfor,"",5,5,1.0,1.0,1.0,grdA:0.00099749932461;grdB:0.00099749932461;oppA:0.0301743545694;oppB:0.0295162820984;pfor:0.0276944604152
FW_TWAS_rep_1,X_aa,proline_stickland,0.09396582179397484,false,true,oppA;oppB;pfor;prdA;prdB,"",5,5,1.0,1.0,1.0,oppA:0.0301743545694;oppB:0.0295162820984;pfor:0.0276944604152;prdA:0.00099749932461;prdB:0.00558322538636
FW_TWAS_rep_1,X_aa,general_amino_acid_catabolism,0.19105367793240557,true,true,dppA;dtpT;gdh;ilvE;oppA;pfor;tdcB,"",7,7,1.0,1.0,1.0,dppA:0.0210784076032;dtpT:0.0175241235514;gdh:0.0425738253406;ilvE:0.0400232749842;oppA:0.0211220481986;pfor:0.0193861222906;tdcB:0.0293458759637
