sample,genome_id,abundance
FW_TWAS_AS_rep_1,GCA_018003655.1,0.09884596086302057
FW_TWAS_AS_rep_1,GCA_044230255.1,0.057231560461615656
FW_TWAS_AS_rep_1,GCA_035410845.1,0.03095208228800803
FW_TWAS_AS_rep_1,GCA_016722305.1,0.024366532865027598
FW_TWAS_AS_rep_1,GCA_046347895.1,0.024209734069242348
FW_TWAS_AS_rep_1,GCA_041674545.1,0.021293276467636728
FW_TWAS_AS_rep_1,GCA_035426845.1,0.019066733567486203
FW_TWAS_AS_rep_1,GCA_018000955.1,0.01825137982940291
FW_TWAS_AS_rep_1,GCA_035351355.1,0.016871550426492726
FW_TWAS_AS_rep_1,GCA_016703135.1,0.016652032112393376
FW_TWAS_AS_rep_1,GCA_035434045.1,0.01662067235323633
FW_TWAS_AS_rep_1,GCA_963746195.1,0.014080531861515304
FW_TWAS_AS_rep_1,GCA_035434385.1,0.01348469643753136
FW_TWAS_AS_rep_1,GCA_046329365.1,0.01248118414450577
FW_TWAS_AS_rep_1,GCA_046329585.1,0.01163447064726543
FW_TWAS_AS_rep_1,GCA_018242085.1,0.011101354741595584
FW_TWAS_AS_rep_1,GCA_041396145.1,0.011038635223281485
FW_TWAS_AS_rep_1,GCA_046350755.1,0.010160561966884094
FW_TWAS_AS_rep_1,GCA_019636095.1,0.009219769192172603
FW_TWAS_AS_rep_1,GCA_016710995.1,0.009000250878073256
FW_TWAS_AS_rep_1,GCA_034676565.1,0.008843452082288008
FW_TWAS_AS_rep_1,GCA_032654705.1,0.008749372804816859
FW_TWAS_AS_rep_1,GCA_046329695.1,0.00771450075263422
FW_TWAS_AS_rep_1,GCA_016705885.1,0.007620421475163071
FW_TWAS_AS_rep_1,GCA_035419325.1,0.007589061716006021
FW_TWAS_AS_rep_1,GCF_004127515.1,0.007557701956848972
FW_TWAS_AS_rep_1,GCA_051953275.1,0.007087305569493226
FW_TWAS_AS_rep_1,GCA_016706035.1,0.007055945810336177
FW_TWAS_AS_rep_1,GCA_016704735.1,0.0069932262920220775
FW_TWAS_AS_rep_1,GCA_035452445.1,0.006961866532865028
FW_TWAS_AS_rep_1,GCA_024235995.1,0.006899147014550929
FW_TWAS_AS_rep_1,GCA_035376965.1,0.0068364274962368285
FW_TWAS_AS_rep_1,GCA_016700375.1,0.00667962870045158
FW_TWAS_AS_rep_1,GCA_046351615.1,0.007494982438534872
FW_TWAS_AS_rep_1,GCA_044224235.1,0.006303311590566984
FW_TWAS_AS_rep_1,GCA_046329225.1,0.0061778725539387855
FW_TWAS_AS_rep_1,GCA_049291395.1,0.006146512794781736
FW_TWAS_AS_rep_1,GCA_044230475.1,0.006146512794781736
FW_TWAS_AS_rep_1,GCA_040080065.1,0.0059269944806823885
FW_TWAS_AS_rep_1,GCA_016704085.1,0.010944555945810336
FW_TWAS_AS_rep_1,GCF_002978245.1,0.005864274962368289
FW_TWAS_AS_rep_1,GCA_037200505.1,0.00577019568489714
FW_TWAS_AS_rep_1,GCA_044223705.1,0.00573883592574009
FW_TWAS_AS_rep_1,GCA_040766305.1,0.005676116407425991
FW_TWAS_AS_rep_1,GCA_963736865.1,0.005676116407425991
FW_TWAS_AS_rep_1,GCA_943370345.1,0.010819116909182138
FW_TWAS_AS_rep_1,GCA_016191845.1,0.005425238334169594
FW_TWAS_AS_rep_1,GCF_022012435.1,0.005299799297541395
FW_TWAS_AS_rep_1,GCA_022484585.1,0.0052684395383843455
FW_TWAS_AS_rep_1,GCA_016714645.1,0.005174360260913196
FW_TWAS_AS_rep_1,GCA_016707525.1,0.005080280983442047
FW_TWAS_AS_rep_1,GCA_046331345.1,0.005832915203211239
FW_TWAS_AS_rep_1,GCA_036569545.1,0.0049548419468138484
FW_TWAS_AS_rep_1,GCA_027492415.1,0.00482940291018565
FW_TWAS_AS_rep_1,GCA_044220615.1,0.0047980431510286
FW_TWAS_AS_rep_1,GCA_037045515.1,0.0047039638735574514
FW_TWAS_AS_rep_1,GCA_035352255.1,0.004672604114400402
FW_TWAS_AS_rep_1,GCA_035417985.1,0.004578524836929252
FW_TWAS_AS_rep_1,GCF_046764005.1,0.004515805318615153
FW_TWAS_AS_rep_1,GCA_050287485.1,0.004359006522829905
FW_TWAS_AS_rep_1,GCA_044227805.1,0.004202207727044657
FW_TWAS_AS_rep_1,GCA_031972215.1,0.004202207727044657
FW_TWAS_AS_rep_1,GCA_046330555.1,0.004202207727044657
FW_TWAS_AS_rep_1,GCA_016707485.1,0.003982689412945308
FW_TWAS_AS_rep_1,GCA_016722395.1,0.00385725037631711
FW_TWAS_AS_rep_1,GCA_044238845.1,0.00385725037631711
FW_TWAS_AS_rep_1,GCA_963779235.1,0.0037318113396889114
FW_TWAS_AS_rep_1,GCA_016714715.1,0.003575012543903663
FW_TWAS_AS_rep_1,GCA_046348625.1,0.003575012543903663
FW_TWAS_AS_rep_1,GCA_963695105.1,0.004045408931259408
FW_TWAS_AS_rep_1,GCA_049290295.1,0.0033868539889613646
FW_TWAS_AS_rep_1,GCA_005518185.1,0.003261414952333166
FW_TWAS_AS_rep_1,GCA_017347485.1,0.003261414952333166
FW_TWAS_AS_rep_1,GCA_016722575.1,0.0032300551931761165
FW_TWAS_AS_rep_1,GCA_035395015.1,0.0031673356748620173
FW_TWAS_AS_rep_1,GCA_937898325.1,0.0031673356748620173
FW_TWAS_AS_rep_1,GCA_016717165.1,0.0031673356748620173
FW_TWAS_AS_rep_1,GCA_035332425.1,0.0031673356748620173
FW_TWAS_AS_rep_1,GCA_048499395.1,0.003135975915704967
FW_TWAS_AS_rep_1,GCA_016710525.1,0.003135975915704967
FW_TWAS_AS_rep_1,GCA_037046705.1,0.0031046161565479176
FW_TWAS_AS_rep_1,GCA_016722635.1,0.002979177119919719
FW_TWAS_AS_rep_1,GCA_049643045.1,0.00288509784244857
FW_TWAS_AS_rep_1,GCA_050183115.1,0.004703963873557451
FW_TWAS_AS_rep_1,GCF_963887565.1,0.0028223783241344705
FW_TWAS_AS_rep_1,GCA_035396845.1,0.002791018564977421
FW_TWAS_AS_rep_1,GCA_963814475.1,0.0027596588058203713
FW_TWAS_AS_rep_1,GCA_035358495.1,0.0027596588058203713
FW_TWAS_AS_rep_1,GCA_035451445.1,0.0027282990466633216
FW_TWAS_AS_rep_1,GCA_004138365.1,0.0027282990466633216
FW_TWAS_AS_rep_1,GCF_026261605.1,0.002508780732563974
FW_TWAS_AS_rep_1,GCA_023622505.1,0.002414701455092825
FW_TWAS_AS_rep_1,GCA_040772985.1,0.0023833416959357753
FW_TWAS_AS_rep_1,GCF_024341885.1,0.002226542900150527
FW_TWAS_AS_rep_1,GCA_016706645.1,0.002226542900150527
FW_TWAS_AS_rep_1,GCA_044229175.1,0.002226542900150527
FW_TWAS_AS_rep_1,GCF_002165385.1,0.002195183140993477
FW_TWAS_AS_rep_1,GCA_035374025.1,0.0021638233818364275
FW_TWAS_AS_rep_1,GCA_016719255.1,0.0021638233818364275
FW_TWAS_AS_rep_1,GCA_004297465.1,0.0021638233818364275
FW_TWAS_AS_rep_1,GCA_016721425.1,0.0021638233818364275
FW_TWAS_AS_rep_1,GCA_037045585.1,0.0021638233818364275
FW_TWAS_AS_rep_1,GCA_037045785.1,0.0021638233818364275
FW_TWAS_AS_rep_1,GCF_025821515.1,0.002132463622679378
FW_TWAS_AS_rep_1,GCA_016710435.1,0.002132463622679378
FW_TWAS_AS_rep_1,GCA_041910895.1,0.0031359759157049676
FW_TWAS_AS_rep_1,GCA_937871025.1,0.0020697441043652787
FW_TWAS_AS_rep_1,GCF_030238425.1,0.0020383843452082286
FW_TWAS_AS_rep_1,GCA_020890945.1,0.0020383843452082286
FW_TWAS_AS_rep_1,GCA_964634325.1,0.002007024586051179
FW_TWAS_AS_rep_1,GCA_963748985.1,0.002007024586051179
FW_TWAS_AS_rep_1,GCA_035379705.1,0.0019443050677370797
FW_TWAS_AS_rep_1,GCA_016721435.1,0.0023206221776216757
FW_TWAS_AS_rep_1,GCF_049943315.1,0.0019129453085800301
FW_TWAS_AS_rep_1,GCA_016711835.1,0.0018815855494229805
FW_TWAS_AS_rep_1,GCA_016702775.1,0.0018502257902659306
FW_TWAS_AS_rep_1,GCF_044224635.1,0.0018502257902659306
FW_TWAS_AS_rep_1,GCA_044221195.1,0.001818866031108881
FW_TWAS_AS_rep_1,GCA_937869105.1,0.0017875062719518314
FW_TWAS_AS_rep_1,GCA_036839835.1,0.0017561465127947818
FW_TWAS_AS_rep_1,GCA_035364295.1,0.0017561465127947818
FW_TWAS_AS_rep_1,GCA_963709485.1,0.0017561465127947818
FW_TWAS_AS_rep_1,GCF_027111095.2,0.0017247867536377322
FW_TWAS_AS_rep_1,GCA_046329445.1,0.0016934269944806823
FW_TWAS_AS_rep_1,GCA_046331075.1,0.0016620672353236327
FW_TWAS_AS_rep_1,GCA_963814445.1,0.001630707476166583
FW_TWAS_AS_rep_1,GCA_964404795.1,0.001630707476166583
FW_TWAS_AS_rep_1,GCA_021808285.1,0.001630707476166583
