sample,genome_id,gene_id,marker_id,bits,evalue,fident
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,mmcE,285,9.052e-80,0.362
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000007.1,folD,310,7.16e-97,0.563
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000001.1,sucC,363,9.327e-113,0.478
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000007.1,frhG,48,9.703e-9,0.274
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,fdhA,48,5.068e-8,0.432
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,fadB,139,9.196e-36,0.328
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,thl,416,1.791e-131,0.56
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,hbd,85,1.055e-20,0.435
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,etfA,163,1.323e-46,0.426
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,hydA,82,1.209e-18,0.278
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,fadD,224,1.415e-63,0.326
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,pgi,661,3.862e-214,0.614
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000010.1,fadB,125,3.879e-31,0.3
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000010.1,susD,172,1.313e-47,0.347
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000013.1,lctB,231,1.014e-70,0.445
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000007.1,pyk,363,6.671e-112,0.437
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000001.1,agl,83,2.648e-18,0.329
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,mmcE,675,4.193e-219,0.636
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000011.1,fdhA,44,2.9e-6,0.197
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000010.1,crt,57,1.96e-10,0.285
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,pepT,234,8.302e-69,0.389
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,oppB,169,1.295e-47,0.355
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000001.1,susC,644,4.88e-200,0.405
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000001.1,pepN,49,7.883e-8,0.242
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,hbd,302,5.282e-94,0.538
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,dppB,217,3.529e-64,0.4
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000014.1,mdh,241,7.238e-73,0.443
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,mmcG,104,9.061e-29,0.412
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,susC,84,5.255e-19,0.298
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000010.1,etfA,44,1.779e-6,0.361
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,hbd,181,7.233e-49,0.31
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,sucD,348,3.136e-110,0.615
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,crt,200,1.722e-59,0.426
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000006.1,lctC,384,1.92e-119,0.462
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000007.1,pfor,45,9.836e-7,0.225
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,frhG,45,8.244e-8,0.328
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000006.1,pepN,99,4.06e-23,0.256
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,acs,76,3.532e-16,0.232
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000007.1,fadD,330,3.695e-99,0.385
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000006.1,lctD,85,4.911e-21,0.316
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000011.1,extracellular_protease,126,6.523e-31,0.339
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,susC,86,2.454e-19,0.232
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000007.1,pfkA,286,6.932e-88,0.49
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,oppA,189,2.538e-52,0.304
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000008.1,acs,61,5.751e-12,0.227
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,bcd,262,9.09e-79,0.389
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000002.1,dppA,158,4.185e-42,0.274
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000010.1,hbd,136,2.756e-34,0.312
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,etfA,93,6.657e-23,0.296
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,cazy_GH43,60,2.498e-11,0.264
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000004.1,crt,127,2.424e-34,0.332
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000001.1,sucD,102,1.026e-24,0.446
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,lysophospholipase,53,4.466e-10,0.277
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000007.1,mvhG,51,1.186e-9,0.327
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000011.1,endopeptidase,219,1.307e-63,0.401
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000014.1,gapA,290,2.905e-89,0.48
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000009.1,extracellular_protease,122,1.598e-30,0.411
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000006.1,fadB,88,2.404e-21,0.308
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000001.1,fadB,166,9.519e-48,0.348
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000005.1,fadE,240,5.375e-71,0.398
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000003.1,fadA,349,3.013e-108,0.503
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000008.1,fadD,49,1.965e-8,0.254
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000001.1,pfor,42,3.194e-6,0.279
FW_TWAS_rep_1,GCA_044230255.1,JBGARK010000007.1,gdh,58,4.322e-11,0.542
