sample,genome_id,abundance
FW_TWAS_rep_2,GCA_018003655.1,0.06896406276362409
FW_TWAS_rep_2,GCA_044230255.1,0.06634891175974356
FW_TWAS_rep_2,GCA_016722305.1,0.029694617850514596
FW_TWAS_rep_2,GCA_046347895.1,0.02353635903492492
FW_TWAS_rep_2,GCA_016703135.1,0.02155390585456386
FW_TWAS_rep_2,GCA_035434045.1,0.019276193689893705
FW_TWAS_rep_2,GCA_035434385.1,0.017251560654631348
FW_TWAS_rep_2,GCA_041674545.1,0.016829762105618356
FW_TWAS_rep_2,GCA_035426845.1,0.015775265733085877
FW_TWAS_rep_2,GCA_018242085.1,0.015269107474270288
FW_TWAS_rep_2,GCA_041396145.1,0.013792812552724819
FW_TWAS_rep_2,GCA_963746195.1,0.013624093133119622
FW_TWAS_rep_2,GCA_046350755.1,0.013581913278218323
FW_TWAS_rep_2,GCA_019636095.1,0.013202294584106631
FW_TWAS_rep_2,GCA_046329365.1,0.01282267588999494
FW_TWAS_rep_2,GCA_016704735.1,0.01223215792137675
FW_TWAS_rep_2,GCA_016705885.1,0.01176817951746246
FW_TWAS_rep_2,GCA_046331345.1,0.011135481693942973
FW_TWAS_rep_2,GCA_046351615.1,0.011725999662561161
FW_TWAS_rep_2,GCF_004127515.1,0.010502783870423485
FW_TWAS_rep_2,GCA_046329585.1,0.010080985321410494
FW_TWAS_rep_2,GCA_016700375.1,0.009912265901805297
FW_TWAS_rep_2,GCA_034676565.1,0.0097857263371014
FW_TWAS_rep_2,GCA_046329695.1,0.009743546482200102
FW_TWAS_rep_2,GCA_032654705.1,0.009617006917496203
FW_TWAS_rep_2,GCA_044224235.1,0.008899949384174119
FW_TWAS_rep_2,GCA_016710995.1,0.00877340981947022
FW_TWAS_rep_2,GCA_051953275.1,0.008098532141049435
FW_TWAS_rep_2,GCA_049291395.1,0.007929812721444239
FW_TWAS_rep_2,GCA_024235995.1,0.007929812721444239
FW_TWAS_rep_2,GCA_016706035.1,0.00784545301164164
FW_TWAS_rep_2,GCA_016704085.1,0.012611776615488443
FW_TWAS_rep_2,GCA_044223705.1,0.007381474607727349
FW_TWAS_rep_2,GCA_037200505.1,0.007381474607727349
FW_TWAS_rep_2,GCA_022484585.1,0.007212755188122153
FW_TWAS_rep_2,GCA_044230475.1,0.007170575333220854
FW_TWAS_rep_2,GCA_046329225.1,0.007086215623418255
FW_TWAS_rep_2,GCF_002978245.1,0.0070018559136156575
FW_TWAS_rep_2,GCA_037045515.1,0.006790956639109161
FW_TWAS_rep_2,GCA_040080065.1,0.00641133794499747
FW_TWAS_rep_2,GCA_963736865.1,0.00641133794499747
FW_TWAS_rep_2,GCA_016191845.1,0.006326978235194871
FW_TWAS_rep_2,GCA_036569545.1,0.0062004386704909735
FW_TWAS_rep_2,GCF_022012435.1,0.006073899105787076
FW_TWAS_rep_2,GCA_046348625.1,0.005989539395984478
FW_TWAS_rep_2,GCA_044238845.1,0.005694280411675384
FW_TWAS_rep_2,GCA_016714715.1,0.0056521005567740845
FW_TWAS_rep_2,GCA_963779235.1,0.005441201282267589
FW_TWAS_rep_2,GCA_943370345.1,0.010587143580226083
FW_TWAS_rep_2,GCF_001014975.1,0.0053568415724649905
FW_TWAS_rep_2,GCF_046764005.1,0.005230302007761093
FW_TWAS_rep_2,GCA_017347485.1,0.0051037624430571955
FW_TWAS_rep_2,GCA_031972215.1,0.004977222878353299
FW_TWAS_rep_2,GCA_016714645.1,0.004471064619537709
FW_TWAS_rep_2,GCA_937898325.1,0.00442888476463641
FW_TWAS_rep_2,GCA_016710525.1,0.00442888476463641
FW_TWAS_rep_2,GCF_963887565.1,0.00442888476463641
FW_TWAS_rep_2,GCA_044227805.1,0.00438670490973511
FW_TWAS_rep_2,GCA_005518185.1,0.00438670490973511
FW_TWAS_rep_2,GCA_048499395.1,0.004344525054833811
FW_TWAS_rep_2,GCA_037044955.1,0.004344525054833811
FW_TWAS_rep_2,GCA_041910895.1,0.005778640121477982
FW_TWAS_rep_2,GCA_027492415.1,0.004133625780327316
FW_TWAS_rep_2,GCA_046330555.1,0.004091445925426016
FW_TWAS_rep_2,GCA_016722395.1,0.003880546650919521
FW_TWAS_rep_2,GCA_016722575.1,0.0038383667960182216
FW_TWAS_rep_2,GCA_016707525.1,0.0037961869411169227
FW_TWAS_rep_2,GCA_963695105.1,0.0037961869411169227
FW_TWAS_rep_2,GCA_044227005.1,0.0037540070862156234
FW_TWAS_rep_2,GCA_037046705.1,0.003669647376413025
FW_TWAS_rep_2,GCA_035332425.1,0.007044035768516956
FW_TWAS_rep_2,GCF_026261605.1,0.003669647376413025
FW_TWAS_rep_2,GCA_014642275.1,0.0035009279568078287
FW_TWAS_rep_2,GCA_016707485.1,0.0035009279568078287
FW_TWAS_rep_2,GCA_964527785.1,0.0034587481019065294
FW_TWAS_rep_2,GCF_027111095.2,0.0034587481019065294
FW_TWAS_rep_2,GCA_050183115.1,0.0034587481019065294
FW_TWAS_rep_2,GCA_049643045.1,0.0033743883921039312
FW_TWAS_rep_2,GCF_002165385.1,0.0032478488274000337
FW_TWAS_rep_2,GCA_037046685.1,0.003036949552893538
FW_TWAS_rep_2,GCA_044229175.1,0.002994769697992239
FW_TWAS_rep_2,GCA_016722635.1,0.0029525898430909398
FW_TWAS_rep_2,GCA_046351595.1,0.0029104099881896404
FW_TWAS_rep_2,GCA_963748985.1,0.0028682301332883416
FW_TWAS_rep_2,GCF_016711745.1,0.0027838704234857434
FW_TWAS_rep_2,GCA_016721435.1,0.002741690568584444
FW_TWAS_rep_2,GCA_044224815.1,0.0026995107136831447
FW_TWAS_rep_2,GCA_016711875.1,0.0026995107136831447
FW_TWAS_rep_2,GCA_937869105.1,0.0026151510038805465
FW_TWAS_rep_2,GCA_963814475.1,0.0024886114391766494
FW_TWAS_rep_2,GCA_037045785.1,0.0024886114391766494
FW_TWAS_rep_2,GCA_046329445.1,0.00244643158427535
FW_TWAS_rep_2,GCA_036839835.1,0.002404251729374051
FW_TWAS_rep_2,GCA_016719255.1,0.002362071874472752
FW_TWAS_rep_2,GCF_044224635.1,0.0023198920195714526
FW_TWAS_rep_2,GCA_046316935.1,0.0022777121646701537
FW_TWAS_rep_2,GCF_003115115.2,0.0022777121646701537
FW_TWAS_rep_2,GCF_051958235.1,0.0022355323097688544
FW_TWAS_rep_2,GCA_044222245.1,0.0022355323097688544
FW_TWAS_rep_2,GCA_021808285.1,0.002193352454867555
FW_TWAS_rep_2,GCA_016716985.1,0.002108992745064957
FW_TWAS_rep_2,GCA_030857175.1,0.002066812890163658
FW_TWAS_rep_2,GCA_016702655.1,0.002066812890163658
FW_TWAS_rep_2,GCA_016795365.1,0.0020246330352623586
FW_TWAS_rep_2,GCA_016713365.1,0.0020246330352623586
FW_TWAS_rep_2,GCA_016721425.1,0.0020246330352623586
FW_TWAS_rep_2,GCA_018882785.1,0.0019824531803610598
FW_TWAS_rep_2,GCA_016711965.1,0.0019824531803610598
FW_TWAS_rep_2,GCF_051958015.1,0.0019402733254597604
FW_TWAS_rep_2,GCA_016702775.1,0.0018980934705584613
FW_TWAS_rep_2,GCA_963798355.1,0.0018980934705584613
FW_TWAS_rep_2,GCA_004297465.1,0.0018980934705584613
FW_TWAS_rep_2,GCA_001771815.1,0.0018559136156571622
FW_TWAS_rep_2,GCA_018604165.1,0.0018559136156571622
FW_TWAS_rep_2,GCA_046348585.1,0.0018559136156571622
FW_TWAS_rep_2,GCA_030537075.1,0.001813733760755863
FW_TWAS_rep_2,GCF_049943315.1,0.002488611439176649
FW_TWAS_rep_2,GCA_044355585.1,0.0017293740509532647
FW_TWAS_rep_2,GCA_041904965.1,0.0017293740509532647
FW_TWAS_rep_2,GCA_016710435.1,0.0016871941960519656
FW_TWAS_rep_2,GCA_964404795.1,0.0016450143411506665
FW_TWAS_rep_2,GCA_016712025.1,0.0016450143411506665
FW_TWAS_rep_2,GCA_046329855.1,0.0016028344862493674
FW_TWAS_rep_2,GCA_036510065.1,0.0016028344862493674
FW_TWAS_rep_2,GCA_965229115.1,0.0016028344862493674
FW_TWAS_rep_2,GCA_937858715.1,0.001560654631348068
FW_TWAS_rep_2,GCF_030238425.1,0.001518474776446769
FW_TWAS_rep_2,GCA_049290295.1,0.001518474776446769
FW_TWAS_rep_2,GCA_044369385.1,0.001518474776446769
FW_TWAS_rep_2,GCA_016717055.1,0.001518474776446769
FW_TWAS_rep_2,GCA_016722075.1,0.0014762949215454699
FW_TWAS_rep_2,GCF_025821515.1,0.0014341150666441708
FW_TWAS_rep_2,GCA_035248525.1,0.0013919352117428717
FW_TWAS_rep_2,GCA_015075305.1,0.0013919352117428717
FW_TWAS_rep_2,GCA_046330105.1,0.0013497553568415724
FW_TWAS_rep_2,GCA_044351045.1,0.0013497553568415724
FW_TWAS_rep_2,GCF_040226955.1,0.0013075755019402733
FW_TWAS_rep_2,GCA_964560345.1,0.0013075755019402733
FW_TWAS_rep_2,GCA_963712105.1,0.003205668972498735
FW_TWAS_rep_2,GCF_020783315.1,0.001223215792137675
FW_TWAS_rep_2,GCF_003052295.1,0.001223215792137675
FW_TWAS_rep_2,GCA_041908585.1,0.0011388560823350768
FW_TWAS_rep_2,GCF_051962735.1,0.0011388560823350768
FW_TWAS_rep_2,GCA_016712375.1,0.0011388560823350768
FW_TWAS_rep_2,GCA_039808765.1,0.0011388560823350768
FW_TWAS_rep_2,GCA_964247385.1,0.0011388560823350768
FW_TWAS_rep_2,GCA_020890945.1,0.0010966762274337775
FW_TWAS_rep_2,GCA_035332785.1,0.0010544963725324784
FW_TWAS_rep_2,GCA_013287665.1,0.0010123165176311793
FW_TWAS_rep_2,GCA_937871805.1,0.0017293740509532647
FW_TWAS_rep_2,GCA_049653105.1,0.0009701366627298802
FW_TWAS_rep_2,GCA_025361645.1,0.0009279568078285811
FW_TWAS_rep_2,GCA_036387945.1,0.0009279568078285811
FW_TWAS_rep_2,GCA_016704225.1,0.0009279568078285811
FW_TWAS_rep_2,GCA_016721245.1,0.0009279568078285811
FW_TWAS_rep_2,GCA_008933705.1,0.0009279568078285811
FW_TWAS_rep_2,GCA_046330625.1,0.0008857769529272819
FW_TWAS_rep_2,GCA_036504335.1,0.0008857769529272819
FW_TWAS_rep_2,GCA_036528635.1,0.0008435970980259828
FW_TWAS_rep_2,GCF_020658055.1,0.0008435970980259828
FW_TWAS_rep_2,GCA_035460805.1,0.0008014172431246837
FW_TWAS_rep_2,GCA_036403075.1,0.0008014172431246837
FW_TWAS_rep_2,GCF_034925685.1,0.0007592373882233845
FW_TWAS_rep_2,GCF_014645495.1,0.0007170575333220854
FW_TWAS_rep_2,GCA_900299265.1,0.0007170575333220854
FW_TWAS_rep_2,GCA_963814445.1,0.0006748776784207862
FW_TWAS_rep_2,GCA_937868245.1,0.0006748776784207862
FW_TWAS_rep_2,GCA_943369995.1,0.000590517968618188
FW_TWAS_rep_2,GCA_046327955.1,0.000590517968618188
FW_TWAS_rep_2,GCA_017303335.1,0.0005483381137168888
FW_TWAS_rep_2,GCA_964451255.1,0.0005061582588155897
FW_TWAS_rep_2,GCA_044378235.1,0.00046397840391429056
FW_TWAS_rep_2,GCA_046331265.1,0.00037961869411169225
FW_TWAS_rep_2,GCF_016717175.1,0.00037961869411169225
FW_TWAS_rep_2,GCF_019430125.1,0.0003374388392103931
FW_TWAS_rep_2,GCA_044229135.1,0.0003374388392103931
FW_TWAS_rep_2,GCA_964448465.1,0.000295258984309094
FW_TWAS_rep_2,GCA_044220735.1,0.00025307912940779483
FW_TWAS_rep_2,GCA_963779155.1,0.00012653956470389742
