sample,genome_id,genome_abundance,cod_group,score,credible,configured,panel_id,confidence,matched_markers,missing_requirements,markers_detected,markers_in_panel,weighted_completeness,requirement_coverage,marker_coverage
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_ch,1.0,true,true,pectin_utilization,high,cazy_CE8;cazy_GH43;cazy_PL1;susC;susD,"",5,5,1.0,1.0,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_pr,0.6363636363636364,true,true,proteolysis_and_peptide_import,low,dtpT;endopeptidase;extracellular_protease;pepN,"",4,7,0.6363636363636364,1.0,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_li,0.4166666666666667,true,true,lipolysis,low,acylglycerol_lipase;esterase;fadD,"",3,6,0.4166666666666667,1.0,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_su,0.7692307692307693,true,true,entner_doudoroff,medium,adhE;eda;edd;gapA;glcP;pfor,"",6,9,0.7692307692307693,1.0,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_aa,0.8,true,true,general_amino_acid_catabolism,medium,dtpT;gdh;ilvE;pfor;tdcB,"",5,7,0.8,1.0,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_fa,0.38628,false,true,lcfa_beta_oxidation,partial,etfA;etfB;fadD;fadE,fadB;fadA,4,6,0.6,0.6,0.8
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_ac_et,0.0,false,true,ethanol_acetate_chain_initiation,none,ackA;acs;adh;adhE;bcd;etfA;etfB;hbd;pta,thl,9,12,0.7333333333333333,0.8571428571428571,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_ac_lac,0.0,false,true,lactate_acetate_chain_initiation,none,ackA;acs;bcd;etfA;etfB;hbd;lctB;lctC;pfor;pta,thl;lctD,10,13,0.6875,0.75,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_chain_et,0.0,false,true,ethanol_reverse_beta_oxidation,none,adh;adhE;bcd;etfA;etfB;hbd,cat;one_of(thl);one_of(crt),6,10,0.6153846153846154,0.6666666666666666,0.75
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_chain_lac,0.0,false,true,lactate_reverse_beta_oxidation,none,bcd;etfA;etfB;hbd;lctB;lctC;pfor,cat;lctD;one_of(thl);one_of(crt),7,11,0.5714285714285714,0.6,0.7777777777777778
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_VFA_deg,1.0,true,true,syntrophic_propionate_mmc,high,fdhA;fumB;hydA;mdh;mmcE;mmcF;mmcG;pfor;sucC;sucD,"",10,10,1.0,1.0,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_Me_ac,0.0,false,true,acetoclastic_ack_pta,none,ackA;pta,mcrA;one_of(cdhC|cdhD|cdhE),2,8,0.2222222222222222,0.5,0.4
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_Me_CO2,0.0,false,true,hydrogenotrophic_core,none,"",mcrA;one_of(fwdA);one_of(ftr);one_of(mch);one_of(mtd|mer),0,8,0.0,0.0,0.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_et,0.8,true,true,ethanol_to_acetyl_coa,medium,ackA;acs;adh;adhE;pta,"",5,6,0.8,1.0,1.0
FW_AS_rep_2,GCA_035410845.1,0.20378609686286736,X_lac,0.4895833333333333,false,true,lactate_to_pyruvate,partial,lctB;lctC;pfor;rnfB,lctD,4,5,0.625,0.6666666666666666,1.0
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_ch,1.0,true,true,starch_utilization,high,agl;cazy_GH13;susC;susD,"",4,4,1.0,1.0,1.0
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_pr,0.4117647058823529,true,true,peptide_scavenging,low,dtpT;endopeptidase;pepD;pepQ;pepT,"",5,13,0.4117647058823529,1.0,1.0
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_li,0.16875,false,true,lipolysis,partial,esterase;fadD,one_of(lipase|lysophospholipase|acylglycerol_lipase|phospholipase),2,6,0.25,0.5,1.0
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_su,0.4336742424242424,false,true,hexose_fermentation,partial,gapA;glcP;pfkA;pfor;pgi,pyk,5,9,0.5454545454545454,0.8333333333333334,0.8333333333333334
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_aa,0.6,true,true,general_amino_acid_catabolism,low,dtpT;gdh;pfor;tdcB,"",4,7,0.6,1.0,1.0
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_fa,0.14884,false,true,lcfa_beta_oxidation,partial,fadA;fadD,fadE;fadB;one_of(etfA|etfB),2,6,0.4,0.4,0.4
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_ac_et,0.0,false,true,ethanol_acetate_chain_initiation,none,ackA;acs;pta;thl,bcd;etfA;etfB;one_of(adhE|adh);one_of(adhE|aldh),4,12,0.3333333333333333,0.2857142857142857,0.5
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_ac_lac,0.0,false,true,lactate_acetate_chain_initiation,none,ackA;acs;pfor;pta;thl,bcd;etfA;etfB;lctD;one_of(lctB|lctC),5,13,0.375,0.375,0.5555555555555556
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_chain_et,0.0,false,true,ethanol_reverse_beta_oxidation,none,cat;thl,bcd;etfA;etfB;one_of(hbd);one_of(crt);one_of(adhE|adh);one_of(adhE|aldh),2,10,0.23076923076923078,0.2222222222222222,0.25
FW_AS_rep_2,GCA_035351355.1,0.07098931617876272,X_chain_lac,0.0,false,true,lactate_reverse_beta_oxidation,none,cat;pfor;thl,bcd;etfA;etfB;lctD;one_of(hbd);one_of(crt);one_of(lctB|lctC),3,11,0.2857142857142857,0.3,0.3333333333333333
