sample,genome_id,group,value
FW_AS_rep_2,GCA_035410845.1,X_ch,1.0
FW_AS_rep_2,GCA_035410845.1,X_pr,0.6363636363636364
FW_AS_rep_2,GCA_035410845.1,X_li,0.4166666666666667
FW_AS_rep_2,GCA_035410845.1,X_su,0.7692307692307693
FW_AS_rep_2,GCA_035410845.1,X_aa,0.8
FW_AS_rep_2,GCA_035410845.1,X_fa,0.38628
FW_AS_rep_2,GCA_035410845.1,X_ac_et,0.0
FW_AS_rep_2,GCA_035410845.1,X_ac_lac,0.0
FW_AS_rep_2,GCA_035410845.1,X_chain_et,0.0
FW_AS_rep_2,GCA_035410845.1,X_chain_lac,0.0
FW_AS_rep_2,GCA_035410845.1,X_VFA_deg,1.0
FW_AS_rep_2,GCA_035410845.1,X_Me_ac,0.0
FW_AS_rep_2,GCA_035410845.1,X_Me_CO2,0.0
FW_AS_rep_2,GCA_035410845.1,X_et,0.8
FW_AS_rep_2,GCA_035410845.1,X_lac,0.4895833333333333
FW_AS_rep_2,GCA_035351355.1,X_ch,1.0
FW_AS_rep_2,GCA_035351355.1,X_pr,0.4117647058823529
FW_AS_rep_2,GCA_035351355.1,X_li,0.16875
FW_AS_rep_2,GCA_035351355.1,X_su,0.4336742424242424
FW_AS_rep_2,GCA_035351355.1,X_aa,0.6
FW_AS_rep_2,GCA_035351355.1,X_fa,0.14884
FW_AS_rep_2,GCA_035351355.1,X_ac_et,0.0
FW_AS_rep_2,GCA_035351355.1,X_ac_lac,0.0
FW_AS_rep_2,GCA_035351355.1,X_chain_et,0.0
FW_AS_rep_2,GCA_035351355.1,X_chain_lac,0.0
FW_AS_rep_2,GCA_035351355.1,X_VFA_deg,0.4037946428571429
FW_AS_rep_2,GCA_035351355.1,X_Me_ac,0.0
FW_AS_rep_2,GCA_035351355.1,X_Me_CO2,0.0
FW_AS_rep_2,GCA_035351355.1,X_et,0.16999999999999998
FW_AS_rep_2,GCA_035351355.1,X_lac,0.23010416666666667
FW_AS_rep_2,GCA_035417985.1,X_ch,0.7142857142857143
FW_AS_rep_2,GCA_035417985.1,X_pr,0.5294117647058824
FW_AS_rep_2,GCA_035417985.1,X_li,0.225
FW_AS_rep_2,GCA_035417985.1,X_su,0.6484848484848486
FW_AS_rep_2,GCA_035417985.1,X_aa,0.9
FW_AS_rep_2,GCA_035417985.1,X_fa,0.18056
FW_AS_rep_2,GCA_035417985.1,X_ac_et,0.0
FW_AS_rep_2,GCA_035417985.1,X_ac_lac,0.0
FW_AS_rep_2,GCA_035417985.1,X_chain_et,0.0
