sample,genome_id,gene_id,marker_id,bits,evalue,fident
FW_AS_rep_2,GCA_035410845.1,DAONRV010000004.1,pepQ,173,1.288e-46,0.329
FW_AS_rep_2,GCA_035410845.1,DAONRV010000018.1,sucD,333,4.408e-105,0.583
FW_AS_rep_2,GCA_035410845.1,DAONRV010000004.1,frhB,40,6.133e-8,0.477
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,ilvE,258,2.885e-78,0.446
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,cazy_GH43,142,4.657e-37,0.339
FW_AS_rep_2,GCA_035410845.1,DAONRV010000030.1,mmcF,126,1.24e-31,0.519
FW_AS_rep_2,GCA_035410845.1,DAONRV010000022.1,susD,132,7.596e-34,0.263
FW_AS_rep_2,GCA_035410845.1,DAONRV010000008.1,susC,57,2.657e-10,0.298
FW_AS_rep_2,GCA_035410845.1,DAONRV010000039.1,susD,123,5.153e-31,0.273
FW_AS_rep_2,GCA_035410845.1,DAONRV010000009.1,fadD,366,3.573e-111,0.416
FW_AS_rep_2,GCA_035410845.1,DAONRV010000036.1,susD,132,3.505e-34,0.325
FW_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,cazy_GH43,129,1.196e-32,0.315
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,dtpT,100,5.783e-24,0.259
FW_AS_rep_2,GCA_035410845.1,DAONRV010000009.1,acs,65,7.22e-13,0.227
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,susD,100,1.196e-23,0.252
FW_AS_rep_2,GCA_035410845.1,DAONRV010000026.1,esterase,198,3.385e-55,0.319
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,hydA,41,5.697e-7,0.357
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,susC,463,3.016e-138,0.324
FW_AS_rep_2,GCA_035410845.1,DAONRV010000011.1,susD,120,5.554e-30,0.266
FW_AS_rep_2,GCA_035410845.1,DAONRV010000005.1,susC,717,1.391e-225,0.426
FW_AS_rep_2,GCA_035410845.1,DAONRV010000024.1,cazy_GH43,55,1.035e-9,0.244
FW_AS_rep_2,GCA_035410845.1,DAONRV010000041.1,susC,78,5.921e-17,0.409
FW_AS_rep_2,GCA_035410845.1,DAONRV010000021.1,acs,82,4.104e-18,0.223
FW_AS_rep_2,GCA_035410845.1,DAONRV010000021.1,susD,82,6.158e-18,0.292
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,adhE,105,7.332e-26,0.265
FW_AS_rep_2,GCA_035410845.1,DAONRV010000004.1,pfor,1405,0.0,0.6
FW_AS_rep_2,GCA_035410845.1,DAONRV010000003.1,cazy_GH43,47,7.727e-8,0.246
FW_AS_rep_2,GCA_035410845.1,DAONRV010000031.1,pepD,481,1.222e-152,0.505
FW_AS_rep_2,GCA_035410845.1,DAONRV010000005.1,agl,55,1.36e-9,0.329
FW_AS_rep_2,GCA_035410845.1,DAONRV010000003.1,susC,529,7.053e-161,0.34
FW_AS_rep_2,GCA_035410845.1,DAONRV010000046.1,cazy_GH13,75,7.263e-16,0.263
FW_AS_rep_2,GCA_035410845.1,DAONRV010000021.1,pfkA,81,8.557e-18,0.303
FW_AS_rep_2,GCA_035410845.1,DAONRV010000030.1,fadD,228,8.481e-65,0.341
FW_AS_rep_2,GCA_035410845.1,DAONRV010000005.1,gdh,549,6.098e-177,0.612
FW_AS_rep_2,GCA_035410845.1,DAONRV010000015.1,edd,234,1.411e-66,0.313
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,cazy_CE8,223,2.121e-60,0.422
FW_AS_rep_2,GCA_035410845.1,DAONRV010000035.1,frhG,40,2.087e-7,0.292
FW_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,glcP,182,6.793e-51,0.304
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,cazy_PL1,59,3.546e-11,0.325
FW_AS_rep_2,GCA_035410845.1,DAONRV010000009.1,cazy_GH43,78,1.972e-17,0.295
FW_AS_rep_2,GCA_035410845.1,DAONRV010000012.1,rnfB,45,9.609e-7,0.367
FW_AS_rep_2,GCA_035410845.1,DAONRV010000013.1,pgi,102,1.017e-24,0.3
FW_AS_rep_2,GCA_035410845.1,DAONRV010000006.1,etfB,119,2.297e-31,0.379
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,mmcG,98,1.416e-26,0.387
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,cazy_GH9,82,6.262e-18,0.248
FW_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,cazy_CBM6,79,1.316e-17,0.463
FW_AS_rep_2,GCA_035410845.1,DAONRV010000011.1,cazy_CBM6,70,3.031e-14,0.365
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,susC,629,1.24e-194,0.383
FW_AS_rep_2,GCA_035410845.1,DAONRV010000037.1,susD,70,1.879e-16,0.361
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,cazy_GH5,94,6.925e-22,0.286
FW_AS_rep_2,GCA_035410845.1,DAONRV010000011.1,susC,509,6.845e-153,0.328
FW_AS_rep_2,GCA_035410845.1,DAONRV010000044.1,cazy_CBM6,74,6.223e-16,0.355
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,endopeptidase,222,2.325e-64,0.431
FW_AS_rep_2,GCA_035410845.1,DAONRV010000032.1,fhs,614,2.697e-197,0.546
FW_AS_rep_2,GCA_035410845.1,DAONRV010000006.1,etfA,207,1.065e-60,0.383
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,pepQ,123,2.543e-31,0.296
FW_AS_rep_2,GCA_035410845.1,DAONRV010000017.1,susD,198,2.784e-55,0.308
FW_AS_rep_2,GCA_035410845.1,DAONRV010000016.1,cazy_GH9,172,8.73e-47,0.344
FW_AS_rep_2,GCA_035410845.1,DAONRV010000006.1,fadE,158,4.771e-42,0.345
FW_AS_rep_2,GCA_035410845.1,DAONRV010000018.1,fadD,201,2.189e-56,0.305
FW_AS_rep_2,GCA_035410845.1,DAONRV010000025.1,lctB,42,9.052e-6,0.234
FW_AS_rep_2,GCA_035410845.1,DAONRV010000009.1,cazy_GH10,249,9.283e-75,0.41
FW_AS_rep_2,GCA_035410845.1,DAONRV010000033.1,susC,516,7.596e-156,0.347
FW_AS_rep_2,GCA_035410845.1,DAONRV010000039.1,susC,611,1.13e-188,0.381
FW_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,esterase,183,3.425e-50,0.304
FW_AS_rep_2,GCA_035410845.1,DAONRV010000036.1,susC,464,1.424e-138,0.34
FW_AS_rep_2,GCA_035410845.1,DAONRV010000004.1,rnfB,47,3.654e-10,0.468
FW_AS_rep_2,GCA_035410845.1,DAONRV010000005.1,cazy_CE8,273,1.56e-83,0.505
FW_AS_rep_2,GCA_035410845.1,DAONRV010000005.1,glcP,212,1.015e-60,0.318
FW_AS_rep_2,GCA_035410845.1,DAONRV010000009.1,adh,63,7.253e-13,0.31
FW_AS_rep_2,GCA_035410845.1,DAONRV010000012.1,hydA,516,1.361e-162,0.463
FW_AS_rep_2,GCA_035410845.1,DAONRV010000009.1,pepD,537,8.514e-172,0.556
FW_AS_rep_2,GCA_035410845.1,DAONRV010000018.1,acs,140,1.946e-36,0.269
FW_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,susD,166,8.976e-45,0.296
FW_AS_rep_2,GCA_035410845.1,DAONRV010000019.1,pta,243,6.439e-73,0.468
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,rnfB,85,2.961e-20,0.309
FW_AS_rep_2,GCA_035410845.1,DAONRV010000003.1,folD,299,4.09e-93,0.545
FW_AS_rep_2,GCA_035410845.1,DAONRV010000046.1,agl,45,1.031e-6,0.263
FW_AS_rep_2,GCA_035410845.1,DAONRV010000028.1,susC,587,1.298e-180,0.368
FW_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,susC,630,1.738e-193,0.393
FW_AS_rep_2,GCA_035410845.1,DAONRV010000003.1,endopeptidase,276,2.499e-79,0.369
FW_AS_rep_2,GCA_035410845.1,DAONRV010000037.1,susC,368,4.651e-107,0.281
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,cazy_GH13,71,1.257e-14,0.25
FW_AS_rep_2,GCA_035410845.1,DAONRV010000004.1,hydA,55,4.319e-10,0.276
FW_AS_rep_2,GCA_035410845.1,DAONRV010000008.1,pepT,261,7.692e-78,0.419
FW_AS_rep_2,GCA_035410845.1,DAONRV010000026.1,acylglycerol_lipase,178,1.393e-51,0.347
FW_AS_rep_2,GCA_035410845.1,DAONRV010000006.1,gapA,484,1.263e-156,0.716
FW_AS_rep_2,GCA_035410845.1,DAONRV010000004.1,susC,58,1.162e-10,0.259
FW_AS_rep_2,GCA_035410845.1,DAONRV010000019.1,adh,76,3.18e-17,0.291
FW_AS_rep_2,GCA_035410845.1,DAONRV010000035.1,xylF,254,5.188e-77,0.42
FW_AS_rep_2,GCA_035410845.1,DAONRV010000009.1,susC,66,4.692e-13,0.283
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,susD,171,1.116e-46,0.323
FW_AS_rep_2,GCA_035410845.1,DAONRV010000019.1,fumB,717,2.379e-233,0.671
FW_AS_rep_2,GCA_035410845.1,DAONRV010000022.1,susC,571,6.279e-175,0.368
FW_AS_rep_2,GCA_035410845.1,DAONRV010000026.1,cazy_GH43,89,3.511e-20,0.313
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,tdcB,94,7.558e-23,0.295
FW_AS_rep_2,GCA_035410845.1,DAONRV010000018.1,cazy_GH13,45,1.131e-6,0.317
FW_AS_rep_2,GCA_035410845.1,DAONRV010000021.1,susC,197,1.971e-56,0.331
FW_AS_rep_2,GCA_035410845.1,DAONRV010000003.1,cazy_PL1,131,1.335e-33,0.39
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,ilvE,74,8.019e-17,0.343
FW_AS_rep_2,GCA_035410845.1,DAONRV010000028.1,susD,132,6.616e-34,0.287
FW_AS_rep_2,GCA_035410845.1,DAONRV010000030.1,mmcE,501,6.481e-156,0.533
FW_AS_rep_2,GCA_035410845.1,DAONRV010000024.1,acylglycerol_lipase,58,1.558e-11,0.327
FW_AS_rep_2,GCA_035410845.1,DAONRV010000017.1,susC,600,1.215e-183,0.376
FW_AS_rep_2,GCA_035410845.1,DAONRV010000005.1,xylA,523,4.609e-168,0.566
FW_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,cazy_GH5,109,2.859e-27,0.317
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,cazy_GH43,45,3.774e-7,0.278
FW_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,cazy_GH10,143,3.321e-38,0.284
FW_AS_rep_2,GCA_035410845.1,DAONRV010000011.1,cazy_GH10,132,3.849e-33,0.345
FW_AS_rep_2,GCA_035410845.1,DAONRV010000025.1,lctC,45,9.877e-7,0.336
FW_AS_rep_2,GCA_035410845.1,DAONRV010000026.1,eda,132,8.882e-37,0.359
FW_AS_rep_2,GCA_035410845.1,DAONRV010000049.1,susC,271,1.924e-75,0.267
FW_AS_rep_2,GCA_035410845.1,DAONRV010000018.1,sucC,319,2.043e-98,0.435
FW_AS_rep_2,GCA_035410845.1,DAONRV010000039.1,pepN,132,1.317e-33,0.283
FW_AS_rep_2,GCA_035410845.1,DAONRV010000004.1,adh,69,4.702e-15,0.26
FW_AS_rep_2,GCA_035410845.1,DAONRV010000025.1,extracellular_protease,219,1.194e-61,0.398
FW_AS_rep_2,GCA_035410845.1,DAONRV010000019.1,hbd,220,9.509e-64,0.384
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,frhG,51,2.499e-9,0.428
FW_AS_rep_2,GCA_035410845.1,DAONRV010000005.1,susD,82,4.752e-18,0.281
FW_AS_rep_2,GCA_035410845.1,DAONRV010000028.1,glcP,208,3.307e-59,0.324
FW_AS_rep_2,GCA_035410845.1,DAONRV010000040.1,susC,41,1.191e-6,0.357
FW_AS_rep_2,GCA_035410845.1,DAONRV010000003.1,susD,149,4.873e-39,0.319
FW_AS_rep_2,GCA_035410845.1,DAONRV010000006.1,bcd,173,8.847e-47,0.324
FW_AS_rep_2,GCA_035410845.1,DAONRV010000021.1,fadD,278,1.489e-81,0.369
FW_AS_rep_2,GCA_035410845.1,DAONRV010000015.1,extracellular_protease,99,2.249e-23,0.306
FW_AS_rep_2,GCA_035410845.1,DAONRV010000012.1,fdhA,64,1.509e-12,0.44
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,frhB,56,1.066e-10,0.26
FW_AS_rep_2,GCA_035410845.1,DAONRV010000006.1,pfkA,232,2.633e-69,0.415
FW_AS_rep_2,GCA_035410845.1,DAONRV010000038.1,susC,345,1.5e-99,0.305
FW_AS_rep_2,GCA_035410845.1,DAONRV010000007.1,esterase,248,2.856e-72,0.341
FW_AS_rep_2,GCA_035410845.1,DAONRV010000005.1,cazy_GH13,134,5.382e-34,0.33
FW_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,pepD,208,1.456e-62,0.501
FW_AS_rep_2,GCA_035410845.1,DAONRV010000016.1,tdcB,224,4.585e-67,0.426
FW_AS_rep_2,GCA_035410845.1,DAONRV010000035.1,hydA,40,3.938e-7,0.295
FW_AS_rep_2,GCA_035410845.1,DAONRV010000019.1,ackA,409,2.57e-129,0.548
FW_AS_rep_2,GCA_035410845.1,DAONRV010000008.1,hbd,40,6e-6,0.264
FW_AS_rep_2,GCA_035410845.1,DAONRV010000008.1,pta,127,1.229e-31,0.301
FW_AS_rep_2,GCA_035410845.1,DAONRV010000016.1,mdh,284,1.703e-87,0.5
FW_AS_rep_2,GCA_035410845.1,DAONRV010000002.1,fadD,267,1.745e-77,0.334
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000012.1,folD,310,1.71e-96,0.555
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000014.1,pepQ,95,1.635e-22,0.294
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000001.1,susC,601,1.936e-185,0.365
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000010.1,pepT,61,3.266e-12,0.262
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000004.1,dtpT,204,1.459e-57,0.313
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000014.1,xylA,286,8.102e-89,0.585
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000010.1,susD,150,2.861e-39,0.279
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000014.1,susC,549,2.195e-167,0.348
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000011.1,gapA,486,2.862e-157,0.712
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000020.1,frhB,42,8.702e-8,0.4
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000004.1,pepT,247,3.573e-73,0.389
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000020.1,dtpT,101,1.88e-24,0.249
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000020.1,hydA,44,9.434e-9,0.357
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000003.1,extracellular_protease,142,4.517e-36,0.343
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000004.1,rnfB,78,5.345e-18,0.319
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000002.1,thl,360,2.427e-112,0.508
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000018.1,susD,119,1.152e-29,0.266
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000038.1,hydA,509,2.288e-160,0.451
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000014.1,susD,155,1.612e-41,0.308
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000003.1,cazy_GH5,58,4.508e-11,0.234
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000019.1,susD,123,4.54e-31,0.27
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000002.1,cat,286,4.441e-90,0.652
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000039.1,susC,345,2.507e-99,0.306
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000004.1,pepD,504,1.649e-160,0.503
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000009.1,pfkA,263,9.667e-79,0.505
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000003.1,hydA,461,6.789e-144,0.426
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000003.1,rnfB,44,8.698e-9,0.425
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000014.1,pfor,1420,0.0,0.614
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000045.1,susC,147,7.693e-40,0.305
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000034.1,acs,61,8.227e-12,0.211
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000001.1,gdh,551,1.441e-177,0.632
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000004.1,pepQ,67,2.496e-14,0.278
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000010.1,cazy_GH43,68,1.948e-14,0.276
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000020.1,frhG,41,1.195e-7,0.323
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000001.1,esterase,240,4.02e-69,0.346
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000003.1,frhG,57,1.114e-10,0.388
FW_AS_rep_2,GCA_035351355.1,DAOPWA010000001.1,cazy_GH13,49,3.889e-8,0.3
