sample,group,value
FW_TWAS_AS_rep_1,X_ch,0.07933297928601563
FW_TWAS_AS_rep_1,X_pr,0.07948653495779692
FW_TWAS_AS_rep_1,X_li,0.04591902330530008
FW_TWAS_AS_rep_1,X_su,0.05780976020959403
FW_TWAS_AS_rep_1,X_aa,0.08586900678793968
FW_TWAS_AS_rep_1,X_fa,0.08721397635391039
FW_TWAS_AS_rep_1,X_ac_et,0.07790647726045366
FW_TWAS_AS_rep_1,X_ac_lac,0.07807404542595082
FW_TWAS_AS_rep_1,X_chain_et,0.07469481789960714
FW_TWAS_AS_rep_1,X_chain_lac,0.07511572861452152
FW_TWAS_AS_rep_1,X_VFA_deg,0.090861026503741
FW_TWAS_AS_rep_1,X_Me_ac,0.024850721485282685
FW_TWAS_AS_rep_1,X_Me_CO2,0.009848854259584358
FW_TWAS_AS_rep_1,X_et,0.06539250878233491
FW_TWAS_AS_rep_1,X_lac,0.06762453886796717
